# Date : 2017-07-09
# Equipment : MACSQuant (Bjorkman lab)
# User : mrazomej
# Description :
# LacI titration for the 3 DNA binding domain mutants plus the wild-type for the O2 operator.
# The strains were grown in deep 96-well plates in 1 mL of LB + Kan + Spec and then
# diluted next morning 1:1000 into 0.5 mL of M9 + 0.5% glucose also in deep 96-well plates 
# Comments :
# The following strains had super low flow rate and data is useless
# > R1220 Q21M
# > R1220 Y20I
# > R1220 WT
date,username,operator,class,strain,repressors,IPTG_uM,mean_YFP,mean_YFP_bgcorr,fold_change
20170709,mrazomej,O2,NA,auto,0,0.0,3083.301638141736,-42.20908720374746,-0.0030441431534278915
20170709,mrazomej,O2,NA,delta,0,0.0,17261.429186653855,14135.91846130837,1.0194904048431144
20170709,mrazomej,O2,NA,auto,0,0.0,3141.5678659354235,16.05714058993999,0.0011580500273447082
20170709,mrazomej,O2,NA,delta,0,0.0,18790.15552645452,15664.644801109036,1.1297430098877435
20170709,mrazomej,O2,NA,auto,0,0.0,3128.777577913187,3.2668525677036087,0.0002356072480134169
20170709,mrazomej,O2,NA,delta,0,0.0,16051.152302314495,12925.64157696901,0.9322045539686467
20170709,mrazomej,O2,NA,auto,0,0.0,3148.395819391587,22.885094046103404,0.0016504858780697336
20170709,mrazomej,O2,NA,delta,0,0.0,15861.989572457112,12736.47884711163,0.918562031300496
20170709,mrazomej,O2,dna,Q21A,1220,0.0,3477.3560257956765,351.845300450193,0.025375281328901652
20170709,mrazomej,O2,dna,Q21A,124,0.0,30463.669024051913,27338.15829870643,1.97164338121357
20170709,mrazomej,O2,dna,Q21M,124,0.0,5454.108698038872,2328.5979726933883,0.16793979792653035
20170709,mrazomej,O2,NA,wt,124,0.0,5183.969134974936,2058.458409629453,0.14845718041808847
20170709,mrazomej,O2,dna,Y20I,124,0.0,29500.328510687013,26374.81778534153,1.9021667205593422
20170709,mrazomej,O2,dna,Q21A,260,0.0,7504.96313816964,4379.452412824156,0.3158485757796318
20170709,mrazomej,O2,dna,Q21M,260,0.0,3482.813773704226,357.30304835874267,0.025768897183439055
20170709,mrazomej,O2,NA,wt,260,0.0,3237.40847144231,111.89774609682672,0.008070128501485935
20170709,mrazomej,O2,dna,Y20I,260,0.0,8050.273969482868,4924.763244137384,0.3551767002097866
20170709,mrazomej,O2,dna,Q21A,60,0.0,21851.40900179506,18725.898276449574,1.350522335507414
20170709,mrazomej,O2,dna,Q21M,60,0.0,26752.390932265513,23626.88020692003,1.7039839139750685
20170709,mrazomej,O2,NA,wt,60,0.0,23092.549851091364,19967.03912574588,1.4400341129260357
20170709,mrazomej,O2,dna,Y20I,60,0.0,26600.649203096997,23475.138477751512,1.6930402149628654
