,date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
18,20190103,gchure,Y20I-Q294K,O2,R260,0.0,16641.519502069295,260.0,1.1239304031644448
32,20190103,gchure,delta,O2,R0,0.0,15590.86658843812,0.0,1.0
14,20190103,gchure,delta,O2,R0,0.1,15307.450591028302,0.0,1.0
19,20190103,gchure,Y20I-Q294K,O2,R260,0.1,16988.80281858241,260.0,1.1971477825400263
0,20190103,gchure,delta,O2,R0,5.0,15222.466787267724,0.0,1.0
23,20190103,gchure,Y20I-Q294K,O2,R260,5.0,16410.260282167426,260.0,1.141291006345908
3,20190103,gchure,Y20I-Q294K,O2,R260,10.0,16109.460962127856,260.0,0.9379482453469483
10,20190103,gchure,delta,O2,R0,10.0,16756.23752434337,0.0,1.0
2,20190103,gchure,Y20I-Q294K,O2,R260,25.0,16498.302544163438,260.0,1.0130002328052188
12,20190103,gchure,delta,O2,R0,25.0,16370.707436126677,0.0,1.0
22,20190103,gchure,Y20I-Q294K,O2,R260,50.0,15094.48709881793,260.0,0.9723323122158162
26,20190103,gchure,delta,O2,R0,50.0,15329.275252822774,0.0,1.0
6,20190103,gchure,Y20I-Q294K,O2,R260,75.0,15898.029338655888,260.0,0.9658222317544116
15,20190103,gchure,delta,O2,R0,75.0,16238.191291195415,0.0,1.0
17,20190103,gchure,Y20I-Q294K,O2,R260,100.0,16484.99647748884,260.0,1.061097451070573
21,20190103,gchure,delta,O2,R0,100.0,15905.555312387909,0.0,1.0
7,20190103,gchure,Y20I-Q294K,O2,R260,250.0,17852.685269626225,260.0,1.0607114380476936
28,20190103,gchure,delta,O2,R0,250.0,17189.802858763167,0.0,1.0
4,20190103,gchure,delta,O2,R0,500.0,16963.436951296393,0.0,1.0
35,20190103,gchure,Y20I-Q294K,O2,R260,500.0,16999.77203119047,260.0,1.0033564136995896
1,20190103,gchure,delta,O2,R0,1000.0,17320.975414525466,0.0,1.0
11,20190103,gchure,Y20I-Q294K,O2,R260,1000.0,17792.453671069623,260.0,1.0434900209637568
20,20190103,gchure,Y20I-Q294K,O2,R260,5000.0,18134.282595687673,260.0,1.0962278964243621
27,20190103,gchure,delta,O2,R0,5000.0,17097.71751657738,0.0,1.0
