# Date : 2017-07-13
# Equipment : MACSQuant (Bjorkman lab)
# User : mrazomej
# Description :
# LacI titration for the 3 DNA binding domain mutants plus the wild-type for the O3 operator.
# The strains were grown in deep 96-well plates in 1 mL of LB + Kan + Spec and then
# diluted next morning 1:1000 into 0.5 mL of M9 + 0.5% glucose also in deep 96-well plates 
# Comments :
# Everything ran smoothly with this experiment.
date,username,operator,class,strain,repressors,IPTG_uM,mean_YFP,mean_YFP_bgcorr,fold_change
20170713,mrazomej,O3,NA,auto,0,0.0,3187.9361609948487,30.75092849185421,0.0009608072708578053
20170713,mrazomej,O3,NA,delta,0,0.0,34060.33352983951,30903.148297336516,0.9655633515047588
20170713,mrazomej,O3,NA,auto,0,0.0,3145.31947720766,-11.865755295334566,-0.00037074340584535367
20170713,mrazomej,O3,NA,delta,0,0.0,35634.77942306703,32477.59419056404,1.0147566323575934
20170713,mrazomej,O3,NA,auto,0,0.0,3137.754569037778,-19.43066346521664,-0.0006071076110731627
20170713,mrazomej,O3,NA,delta,0,0.0,35234.7931176754,32077.607885172405,1.0022591316539762
20170713,mrazomej,O3,NA,auto,0,0.0,3157.7307227716924,0.545490268697904,1.7043746060739557e-05
20170713,mrazomej,O3,NA,delta,0,0.0,35720.04962147026,32562.864388967264,1.0174208844836716
20170713,mrazomej,O3,dna,Q21A,1220,0.0,26619.102377018797,23461.917144515803,0.7330634125953485
20170713,mrazomej,O3,dna,Q21M,1220,0.0,17024.142326146863,13866.957093643869,0.4332705987650285
20170713,mrazomej,O3,NA,wt,1220,0.0,10571.063237605002,7413.878005102008,0.23164529469221404
20170713,mrazomej,O3,dna,Y20I,1220,0.0,8858.39178594611,5701.206553443117,0.17813318094318195
20170713,mrazomej,O3,dna,Q21A,124,0.0,33905.07829571054,30747.893063207546,0.9607124294316461
20170713,mrazomej,O3,dna,Q21M,124,0.0,32050.74858326881,28893.563350765817,0.9027742286142747
20170713,mrazomej,O3,NA,wt,124,0.0,26899.18969394614,23742.004461443146,0.7418146908096025
20170713,mrazomej,O3,dna,Y20I,124,0.0,25870.087806511587,22712.902574008593,0.7096605860591547
20170713,mrazomej,O3,dna,Q21A,260,0.0,32132.34613319795,28975.160900694955,0.9053237294944471
20170713,mrazomej,O3,dna,Q21M,260,0.0,29318.30362712858,26161.118394625584,0.8173994737748
20170713,mrazomej,O3,NA,wt,260,0.0,22531.44730161926,19374.262069116267,0.6053453595211771
20170713,mrazomej,O3,dna,Y20I,260,0.0,18855.906042183396,15698.720809680402,0.4905037290533586
20170713,mrazomej,O3,dna,Q21A,60,0.0,40083.87807638052,36926.69284387752,1.153767925496258
20170713,mrazomej,O3,dna,Q21M,60,0.0,33731.41335509014,30574.228122587145,0.9552862993658379
20170713,mrazomej,O3,NA,wt,60,0.0,30581.202483168767,27424.017250665773,0.8568585230702658
20170713,mrazomej,O3,dna,Y20I,60,0.0,29004.899914549827,25847.714682046833,0.807607230726293
