,date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
10,20190318,gchure,Q21A,O2,R60,0.0,19899.636033363804,60.0,0.8666707029090466
16,20190318,gchure,Q21A,O2,R1220,0.0,7422.718114021089,1220.0,0.16099139462925385
23,20190318,gchure,delta,O2,R0,0.0,22256.993938759428,0.0,1.0
45,20190318,gchure,Q21A,O2,R260,0.0,10498.542542271423,260.0,0.3349562847527059
48,20190318,gchure,Q21A,O2,R124,0.0,15460.664732827197,124.0,0.6156078829813554
8,20190318,gchure,Q21A,O2,R1220,0.1,7060.8300903414965,1220.0,0.14659611974933673
51,20190318,gchure,Q21A,O2,R124,0.1,14332.785011542337,124.0,0.5686694607665838
55,20190318,gchure,Q21A,O2,R60,0.1,18764.161039102124,60.0,0.8258720569767147
63,20190318,gchure,Q21A,O2,R260,0.1,10234.110020855505,260.0,0.33077724803854414
71,20190318,gchure,delta,O2,R0,0.1,21764.23337045322,0.0,1.0
22,20190318,gchure,Q21A,O2,R124,5.0,15720.684390055974,124.0,0.6677949625815547
37,20190318,gchure,Q21A,O2,R260,5.0,11686.844004446177,260.0,0.4323173716941908
47,20190318,gchure,Q21A,O2,R60,5.0,18756.721480011634,60.0,0.8450252521928694
49,20190318,gchure,Q21A,O2,R1220,5.0,8419.202164243348,1220.0,0.24156703086299422
53,20190318,gchure,delta,O2,R0,5.0,21411.510813036202,0.0,1.0
14,20190318,gchure,Q21A,O2,R260,10.0,13211.062981238461,260.0,0.5365224333111168
35,20190318,gchure,delta,O2,R0,10.0,20988.871673566853,0.0,1.0
36,20190318,gchure,Q21A,O2,R1220,10.0,9388.162402588474,1220.0,0.308716797048315
54,20190318,gchure,Q21A,O2,R60,10.0,19370.424146860496,60.0,0.9035571391423686
60,20190318,gchure,Q21A,O2,R124,10.0,16508.924403491394,124.0,0.7330411248508744
20,20190318,gchure,Q21A,O2,R260,25.0,17260.05454583113,260.0,0.7582292036620334
32,20190318,gchure,delta,O2,R0,25.0,21448.925505024687,0.0,1.0
33,20190318,gchure,Q21A,O2,R1220,25.0,13341.980938761391,1220.0,0.5320881300123474
52,20190318,gchure,Q21A,O2,R60,25.0,19954.247625879554,60.0,0.9137310591254802
57,20190318,gchure,Q21A,O2,R124,25.0,19414.81136825733,124.0,0.8825961937048453
5,20190318,gchure,Q21A,O2,R60,50.0,20072.898740365537,60.0,0.9180819731915756
27,20190318,gchure,Q21A,O2,R124,50.0,20919.875324983517,124.0,0.96671534399091
62,20190318,gchure,Q21A,O2,R260,50.0,19598.19841106656,260.0,0.890824694120778
65,20190318,gchure,delta,O2,R0,50.0,21499.545699531136,0.0,1.0
67,20190318,gchure,Q21A,O2,R1220,50.0,17074.35409317438,1220.0,0.7459056269576574
11,20190318,gchure,Q21A,O2,R1220,75.0,19650.491450866364,1220.0,0.91646561400015
15,20190318,gchure,delta,O2,R0,75.0,21071.04034876399,0.0,1.0
34,20190318,gchure,Q21A,O2,R260,75.0,20744.44901229955,260.0,0.9807950245114382
42,20190318,gchure,Q21A,O2,R60,75.0,20580.842621488424,60.0,0.9711742649428762
68,20190318,gchure,Q21A,O2,R124,75.0,21013.672755605818,124.0,0.9966265387429821
1,20190318,gchure,delta,O2,R0,100.0,22357.13945842506,0.0,1.0
6,20190318,gchure,Q21A,O2,R260,100.0,21820.97246502863,260.0,0.9706094153689551
18,20190318,gchure,Q21A,O2,R60,100.0,21346.854205004543,60.0,0.9446201004391217
25,20190318,gchure,Q21A,O2,R124,100.0,21634.635959266343,124.0,0.9603951744516473
59,20190318,gchure,Q21A,O2,R1220,100.0,21116.97180422872,1220.0,0.9320188432964723
0,20190318,gchure,Q21A,O2,R60,250.0,21441.422835251145,60.0,0.9736053173817371
2,20190318,gchure,Q21A,O2,R124,250.0,21325.30878865271,124.0,0.967101760109912
13,20190318,gchure,delta,O2,R0,250.0,21912.67161178846,0.0,1.0
30,20190318,gchure,Q21A,O2,R260,250.0,21471.148698106954,260.0,0.9752702653979383
38,20190318,gchure,Q21A,O2,R1220,250.0,21169.858522701816,1220.0,0.9583949779664181
12,20190318,gchure,Q21A,O2,R1220,500.0,22176.119977855757,1220.0,0.9423074358249044
40,20190318,gchure,delta,O2,R0,500.0,23272.121650769797,0.0,1.0
46,20190318,gchure,Q21A,O2,R260,500.0,21779.434661706935,260.0,0.9214262696507823
58,20190318,gchure,Q21A,O2,R60,500.0,22312.11463067417,60.0,0.9494660747477225
61,20190318,gchure,Q21A,O2,R124,500.0,22463.521668595367,124.0,0.9574360080678106
4,20190318,gchure,delta,O2,R0,1000.0,22098.638461168346,0.0,1.0
7,20190318,gchure,Q21A,O2,R60,1000.0,21569.603494518055,60.0,0.9705942292580575
21,20190318,gchure,Q21A,O2,R260,1000.0,21785.378692682665,260.0,0.9825878334789672
41,20190318,gchure,Q21A,O2,R124,1000.0,21406.5801155324,124.0,0.9615327713011624
43,20190318,gchure,Q21A,O2,R1220,1000.0,21827.76100734829,1220.0,0.9849436033375483
19,20190318,gchure,Q21A,O2,R124,5000.0,20222.872993873436,124.0,0.9605277977413256
28,20190318,gchure,Q21A,O2,R1220,5000.0,20587.407880341114,1220.0,0.9821781706574404
39,20190318,gchure,Q21A,O2,R260,5000.0,20216.875880608637,260.0,0.9601716185567728
66,20190318,gchure,delta,O2,R0,5000.0,20887.480242198708,0.0,1.0
70,20190318,gchure,Q21A,O2,R60,5000.0,21138.068308563623,60.0,1.014882869339886
