Unnamed: 0,date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
41,20190312,gchure,Q294V,O2,R260,0.0,4572.12272687736,260.0,0.08548798519626492
47,20190312,gchure,delta,O2,R0,0.0,18176.380281739108,0.0,1.0
53,20190312,gchure,Y20I,O2,R260,0.0,10419.880115392352,260.0,0.4785887751429471
68,20190312,gchure,Y20I,O2,R124,0.0,14954.573944739243,124.0,0.7834221681943794
69,20190312,gchure,F164T,O2,R260,0.0,4498.644224400194,260.0,0.08054857758256972
72,20190312,gchure,Y20I,O2,R1220,0.0,6648.548476496039,1220.0,0.22507048635197988
87,20190312,gchure,Y20I,O2,R60,0.0,14675.394280358529,60.0,0.7646550170775002
34,20190312,gchure,Q294V,O2,R260,0.1,4543.188109897382,260.0,0.010557644833448437
55,20190312,gchure,Y20I,O2,R1220,0.1,6729.675996438841,1220.0,0.1632895607605932
62,20190312,gchure,Y20I,O2,R260,0.1,11134.054678817756,260.0,0.4709469682262484
67,20190312,gchure,F164T,O2,R260,0.1,4597.495588254826,260.0,0.014351164692286773
74,20190312,gchure,Y20I,O2,R124,0.1,14985.685972145633,124.0,0.7399935202313553
91,20190312,gchure,Y20I,O2,R60,0.1,15604.208081777117,60.0,0.7831989125085307
92,20190312,gchure,delta,O2,R0,0.1,18707.90090663,0.0,1.0
1,20190312,gchure,Y20I,O2,R60,5.0,16800.14948727869,60.0,0.8496844903317818
18,20190312,gchure,Y20I,O2,R1220,5.0,9015.682001988142,1220.0,0.32098283544972306
35,20190312,gchure,F164T,O2,R260,5.0,4892.03561608616,260.0,0.04091503729982526
36,20190312,gchure,Y20I,O2,R124,5.0,17151.005339615895,124.0,0.8735137464891553
42,20190312,gchure,Y20I,O2,R260,5.0,14485.927278416562,260.0,0.6925082783555359
52,20190312,gchure,Q294V,O2,R260,5.0,4707.029252754221,260.0,0.028349865611185663
59,20190312,gchure,delta,O2,R0,5.0,19013.35647602578,0.0,1.0
7,20190312,gchure,Y20I,O2,R1220,10.0,10799.458685493286,1220.0,0.4428000908030445
11,20190312,gchure,Y20I,O2,R260,10.0,15588.586905916369,260.0,0.7746847790887418
37,20190312,gchure,Q294V,O2,R260,10.0,4873.666622439571,260.0,0.032145048554311516
43,20190312,gchure,Y20I,O2,R60,10.0,17057.723516963044,60.0,0.8764953641816706
58,20190312,gchure,Y20I,O2,R124,10.0,17268.04525640611,124.0,0.8910705773983676
80,20190312,gchure,F164T,O2,R260,10.0,5450.530487869504,260.0,0.07212148588272832
88,20190312,gchure,delta,O2,R0,10.0,18839.907382708217,0.0,1.0
3,20190312,gchure,Y20I,O2,R1220,25.0,14064.82172097986,1220.0,0.6951512709384106
9,20190312,gchure,Y20I,O2,R260,25.0,16820.879536379794,260.0,0.892008433199188
33,20190312,gchure,Q294V,O2,R260,25.0,4911.10798442404,260.0,0.041328226930755066
46,20190312,gchure,Y20I,O2,R60,25.0,17994.173374069498,60.0,0.9758133860906192
60,20190312,gchure,Y20I,O2,R124,25.0,17461.53049762965,124.0,0.9377682607059216
78,20190312,gchure,F164T,O2,R260,25.0,6831.339108369036,260.0,0.17848472917553146
89,20190312,gchure,delta,O2,R0,25.0,18332.793038843014,0.0,1.0
2,20190312,gchure,Y20I,O2,R124,50.0,18053.41773804663,124.0,1.029419974030659
28,20190312,gchure,F164T,O2,R260,50.0,10240.82136314759,260.0,0.4455300470594316
44,20190312,gchure,delta,O2,R0,50.0,17659.770970317964,0.0,1.0
54,20190312,gchure,Y20I,O2,R260,50.0,17680.12765556366,260.0,1.0015213973551322
61,20190312,gchure,Y20I,O2,R1220,50.0,17016.173239464668,1220.0,0.9518994436632936
73,20190312,gchure,Q294V,O2,R260,50.0,5260.079761239887,260.0,0.07328441825104155
83,20190312,gchure,Y20I,O2,R60,50.0,17677.026918757645,60.0,1.001289657623506
0,20190312,gchure,delta,O2,R0,100.0,17269.860673229246,0.0,1.0
12,20190312,gchure,Y20I,O2,R60,100.0,16930.60470769542,60.0,0.9737535551575878
16,20190312,gchure,Y20I,O2,R124,100.0,17233.708245454076,124.0,0.9972030773282726
26,20190312,gchure,F164T,O2,R260,100.0,14201.814837219099,260.0,0.7626414743153459
31,20190312,gchure,Y20I,O2,R260,100.0,16993.44411980933,260.0,0.9786151090624164
49,20190312,gchure,Y20I,O2,R1220,100.0,17055.149416475382,1220.0,0.9833889224362852
64,20190312,gchure,Q294V,O2,R260,100.0,5907.328164050103,260.0,0.12094078492320312
6,20190312,gchure,F164T,O2,R260,250.0,15740.449791871692,260.0,0.7414614218468477
10,20190312,gchure,Y20I,O2,R260,250.0,18564.583411423097,260.0,0.9301880425572592
