,date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
9,20180130,sbarnes,auto,O2,R0,0.0,4702.276599585226,0.0,0.0
51,20180130,sbarnes,Q21A,O2,R124,0.0,13630.36932390837,124.0,0.5931440582388087
53,20180130,sbarnes,Q21A,O2,R260,0.0,9100.423383414669,260.0,0.2921939447362016
63,20180130,sbarnes,Q21A,O2,R1220,0.0,5701.978622714936,1220.0,0.06641590016345374
72,20180130,sbarnes,Q21A,O2,R60,0.0,16537.141160315703,60.0,0.7862574696535215
74,20180130,sbarnes,wt,O2,R260,0.0,4727.404948024232,260.0,0.0016694193295445205
79,20180130,sbarnes,delta,O2,R0,0.0,19754.42556797051,0.0,1.0
6,20180130,sbarnes,delta,O2,R0,0.1,16179.913876103074,0.0,1.0
26,20180130,sbarnes,Q21A,O2,R60,0.1,12892.063069906506,60.0,0.7198306139049893
40,20180130,sbarnes,auto,O2,R0,0.1,4444.688796652048,0.0,0.0
44,20180130,sbarnes,Q21A,O2,R260,0.1,7536.403031534223,260.0,0.26345589572848704
50,20180130,sbarnes,Q21A,O2,R1220,0.1,5570.7146514735405,1220.0,0.09595264233944868
54,20180130,sbarnes,wt,O2,R260,0.1,4580.855549897515,260.0,0.011603250242204691
77,20180130,sbarnes,Q21A,O2,R124,0.1,12663.96771838721,124.0,0.7003938029384316
4,20180130,sbarnes,Q21A,O2,R60,5.0,16271.441991019186,60.0,0.7791468781992984
7,20180130,sbarnes,wt,O2,R260,5.0,4887.4267924096375,260.0,0.03635817316125302
10,20180130,sbarnes,delta,O2,R0,5.0,19656.24749248515,0.0,1.0
29,20180130,sbarnes,Q21A,O2,R260,5.0,10796.809851004171,260.0,0.42193592521865747
32,20180130,sbarnes,Q21A,O2,R1220,5.0,6589.034047730734,1220.0,0.14738531320035603
41,20180130,sbarnes,Q21A,O2,R124,5.0,15887.91067391775,124.0,0.7541220758425596
80,20180130,sbarnes,auto,O2,R0,5.0,4330.199692624669,0.0,0.0
16,20180130,sbarnes,Q21A,O2,R1220,10.0,7348.343725783866,1220.0,0.20623031740178105
24,20180130,sbarnes,Q21A,O2,R124,10.0,16925.42391739718,124.0,0.8524132100931255
28,20180130,sbarnes,delta,O2,R0,10.0,19112.808538914964,0.0,1.0
