,date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
2,20190319,gchure,Q21M,O2,R124,0.0,4960.413041634727,124.0,-0.013101716177437016
15,20190319,gchure,Q21M,O2,R260,0.0,5128.294094847944,260.0,-0.005198479812527026
49,20190319,gchure,Q21M,O2,R1220,0.0,4914.289320223277,1220.0,-0.015273055142537401
55,20190319,gchure,Q21M,O2,R60,0.0,5009.28980678352,60.0,-0.010800773811817535
68,20190319,gchure,delta,O2,R0,0.0,26480.784604749726,0.0,1.0
23,20190319,gchure,delta,O2,R0,0.1,27780.48664409844,0.0,1.0
33,20190319,gchure,Q21M,O2,R1220,0.1,5026.270636306536,1220.0,-0.0130680797152499
39,20190319,gchure,Q21M,O2,R124,0.1,5091.583347345539,124.0,-0.010160213202484912
47,20190319,gchure,Q21M,O2,R60,0.1,4997.547073143921,60.0,-0.014346916347800364
57,20190319,gchure,Q21M,O2,R260,0.1,5355.3441016967,260.0,0.001582999607979517
7,20190319,gchure,delta,O2,R0,5.0,27880.5173050104,0.0,1.0
9,20190319,gchure,Q21M,O2,R1220,5.0,5241.560289706687,1220.0,-0.0266014295298859
11,20190319,gchure,Q21M,O2,R60,5.0,5520.410808881398,60.0,-0.013956485621189289
56,20190319,gchure,Q21M,O2,R260,5.0,5392.898463038112,260.0,-0.019738746545883694
58,20190319,gchure,Q21M,O2,R124,5.0,5344.057162651912,124.0,-0.021953537128447928
16,20190319,gchure,Q21M,O2,R124,10.0,5413.4102121854385,124.0,0.020590633141660358
29,20190319,gchure,Q21M,O2,R60,10.0,5590.098582788032,60.0,0.028546675695157387
46,20190319,gchure,Q21M,O2,R1220,10.0,5393.277612675378,1220.0,0.019684088936921373
48,20190319,gchure,Q21M,O2,R260,10.0,5509.973294641654,260.0,0.024938740436432242
63,20190319,gchure,delta,O2,R0,10.0,27164.204532290583,0.0,1.0
19,20190319,gchure,Q21M,O2,R124,25.0,5971.164787961821,124.0,0.03758809292575086
30,20190319,gchure,Q21M,O2,R60,25.0,6035.619002340226,60.0,0.04213875598561712
43,20190319,gchure,Q21M,O2,R260,25.0,6175.787140799231,260.0,0.05203505176715916
44,20190319,gchure,Q21M,O2,R1220,25.0,5780.511052208073,1220.0,0.02412736082487563
71,20190319,gchure,delta,O2,R0,25.0,19602.475777775235,0.0,1.0
10,20190319,gchure,Q21M,O2,R260,50.0,7627.382141486945,260.0,0.1492918400591293
12,20190319,gchure,Q21M,O2,R1220,50.0,6586.739298306362,1220.0,0.07933596227957554
27,20190319,gchure,delta,O2,R0,50.0,20282.26385232061,0.0,1.0
42,20190319,gchure,Q21M,O2,R124,50.0,7664.482056140948,124.0,0.15178583414381921
64,20190319,gchure,Q21M,O2,R60,50.0,8170.579664645664,60.0,0.1858075954782568
4,20190319,gchure,Q21M,O2,R124,75.0,9294.09051666368,124.0,0.25404043156592876
24,20190319,gchure,Q21M,O2,R60,75.0,10792.249160323992,60.0,0.356481178038246
34,20190319,gchure,Q21M,O2,R1220,75.0,6526.345625988219,1220.0,0.0647882092825701
35,20190319,gchure,Q21M,O2,R260,75.0,8376.380069799037,260.0,0.19128943812469365
54,20190319,gchure,delta,O2,R0,75.0,20203.47778447924,0.0,1.0
5,20190319,gchure,Q21M,O2,R260,100.0,9961.285762764637,260.0,0.30203044510810706
21,20190319,gchure,Q21M,O2,R60,100.0,14025.9409798158,60.0,0.5841477788848148
28,20190319,gchure,Q21M,O2,R124,100.0,11432.546650975393,124.0,0.40414690441583995
36,20190319,gchure,Q21M,O2,R1220,100.0,7197.00387121317,1220.0,0.11016870151414397
41,20190319,gchure,delta,O2,R0,100.0,20017.40516051729,0.0,1.0
0,20190319,gchure,Q21M,O2,R60,250.0,17750.344978072662,60.0,0.7531638279317542
13,20190319,gchure,Q21M,O2,R124,250.0,16745.32899639614,124.0,0.6917384236698818
26,20190319,gchure,Q21M,O2,R260,250.0,15724.934218871282,260.0,0.6293730853479867
53,20190319,gchure,Q21M,O2,R1220,250.0,9781.177984324077,1220.0,0.26609763879036397
60,20190319,gchure,delta,O2,R0,250.0,21788.972004878025,0.0,1.0
1,20190319,gchure,Q21M,O2,R1220,500.0,10891.002413647268,1220.0,0.24742030402420448
14,20190319,gchure,delta,O2,R0,500.0,22177.284248812273,0.0,1.0
40,20190319,gchure,Q21M,O2,R260,500.0,16619.561149791316,260.0,0.6294058910396066
52,20190319,gchure,Q21M,O2,R60,500.0,19762.26842687404,60.0,0.8389645146563506
59,20190319,gchure,Q21M,O2,R124,500.0,17897.388041736398,124.0,0.7146125683045171
20,20190319,gchure,Q21M,O2,R124,1000.0,18866.86555613969,124.0,0.8305832776542496
45,20190319,gchure,delta,O2,R0,1000.0,21505.241623310278,0.0,1.0
51,20190319,gchure,Q21M,O2,R1220,1000.0,11733.097976279367,1220.0,0.3725062292778965
65,20190319,gchure,Q21M,O2,R260,1000.0,17431.05886642526,260.0,0.7383865410630238
70,20190319,gchure,Q21M,O2,R60,1000.0,20245.63242738671,60.0,0.9191173449208901
3,20190319,gchure,Q21M,O2,R1220,5000.0,12603.252118156066,1220.0,0.4305622366711889
17,20190319,gchure,Q21M,O2,R60,5000.0,20222.955675282985,60.0,0.9140065085267342
18,20190319,gchure,Q21M,O2,R260,5000.0,18032.08177737766,260.0,0.7750030120836878
32,20190319,gchure,delta,O2,R0,5000.0,21578.32371047277,0.0,1.0
62,20190319,gchure,Q21M,O2,R124,5000.0,19442.253860078195,124.0,0.8644736339525042
