,Unnamed: 0,date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
0,2,20180927,mrazomej,delta,O1,R0,0.0,15546.057479558089,0.0,1.0
1,18,20180927,mrazomej,Q294K,O1,R260,0.0,4172.112163655067,260.0,0.08412732171586955
2,3,20180927,mrazomej,Q294K,O2,R260,0.0,7260.190391720805,260.0,0.25370733409354856
3,19,20180927,mrazomej,wt,O2,R260,0.0,3401.667937783391,260.0,0.01683926610741707
5,79,20180927,mrazomej,delta,O2,R0,0.0,19417.11400363397,0.0,1.0
6,32,20180927,mrazomej,delta,O1,R0,0.1,15968.202265369311,0.0,1.0
7,63,20180927,mrazomej,Q294K,O1,R260,0.1,4187.703968381687,260.0,0.08799890418957361
8,4,20180927,mrazomej,Q294K,O2,R260,0.1,7286.580655722189,260.0,0.2390529624649067
10,29,20180927,mrazomej,delta,O2,R0,0.1,20769.153351323865,0.0,1.0
11,65,20180927,mrazomej,wt,O2,R260,0.1,3398.751692083387,260.0,0.01962659636126333
12,70,20180927,mrazomej,Q294K,O1,R260,5.0,4205.577588809914,260.0,0.08703707738937101
13,78,20180927,mrazomej,delta,O1,R0,5.0,16344.91106326589,0.0,1.0
15,10,20180927,mrazomej,delta,O2,R0,5.0,21375.994207130057,0.0,1.0
16,69,20180927,mrazomej,wt,O2,R260,5.0,3575.592244709594,260.0,0.028771438966758014
17,77,20180927,mrazomej,Q294K,O2,R260,5.0,7224.150277783016,260.0,0.22784468325580576
18,50,20180927,mrazomej,delta,O1,R0,10.0,16354.891733143311,0.0,1.0
19,76,20180927,mrazomej,Q294K,O1,R260,10.0,4139.962167338126,260.0,0.08371797516671774
20,13,20180927,mrazomej,delta,O2,R0,10.0,22046.97767101498,0.0,1.0
21,31,20180927,mrazomej,wt,O2,R260,10.0,3651.6050970683614,260.0,0.032996003567845725
23,52,20180927,mrazomej,Q294K,O2,R260,10.0,7205.597714679478,260.0,0.2198215245354264
24,46,20180927,mrazomej,delta,O1,R0,25.0,16210.459233198548,0.0,1.0
25,73,20180927,mrazomej,Q294K,O1,R260,25.0,4179.439577911877,260.0,0.08368890180665603
26,15,20180927,mrazomej,delta,O2,R0,25.0,21839.58273732312,0.0,1.0
27,30,20180927,mrazomej,wt,O2,R260,25.0,4037.598677960552,260.0,0.051014601390728914
29,45,20180927,mrazomej,Q294K,O2,R260,25.0,7277.38293538706,260.0,0.2237205169049586
30,7,20180927,mrazomej,delta,O1,R0,50.0,16424.484714056467,0.0,1.0
31,40,20180927,mrazomej,Q294K,O1,R260,50.0,4271.704344857303,260.0,0.08553650569267185
32,6,20180927,mrazomej,Q294K,O2,R260,50.0,7414.059240926721,260.0,0.22449849555708815
33,58,20180927,mrazomej,delta,O2,R0,50.0,22195.645137630378,0.0,1.0
35,81,20180927,mrazomej,wt,O2,R260,50.0,6044.256080499601,260.0,0.15263310715253411
36,53,20180927,mrazomej,delta,O1,R0,75.0,16229.314743589915,0.0,1.0
37,67,20180927,mrazomej,Q294K,O1,R260,75.0,4393.613092571056,260.0,0.09709043833112926
38,12,20180927,mrazomej,delta,O2,R0,75.0,21919.53789142805,0.0,1.0
40,27,20180927,mrazomej,wt,O2,R260,75.0,8396.62269138595,260.0,0.28064339936767035
41,54,20180927,mrazomej,Q294K,O2,R260,75.0,8056.590814416098,260.0,0.2625552747654469
