,date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
24,20181130,gchure,delta,O1,R0,0.0,15049.359621344884,0.0,1.0
36,20181130,gchure,Q294V,O1,R260,0.0,7610.92191824268,260.0,0.007773956137014719
59,20181130,gchure,F164T,O1,R260,0.0,7544.325738652162,260.0,-0.0011094232026993519
13,20181130,gchure,Q294V,O3,R260,0.0,7610.801762661107,260.0,0.0037518443599171987
39,20181130,gchure,delta,O3,R260,0.0,23054.083344842013,260.0,1.0
75,20181130,gchure,F164T,O3,R260,0.0,7011.070116840031,260.0,-0.034936924141049416
2,20181130,gchure,F164T,O1,R260,0.1,7083.607290146476,260.0,-0.02370927506937803
76,20181130,gchure,Q294V,O1,R260,0.1,7354.296197209085,260.0,0.006427911691445716
77,20181130,gchure,delta,O1,R0,0.1,16278.451753154071,0.0,1.0
15,20181130,gchure,delta,O3,R260,0.1,23166.710417410788,260.0,1.0
18,20181130,gchure,Q294V,O3,R260,0.1,7219.431079415562,260.0,-0.004860087935372086
71,20181130,gchure,F164T,O3,R260,0.1,7039.313138786755,260.0,-0.01620956804561099
23,20181130,gchure,F164T,O1,R260,5.0,6954.105537358487,260.0,-0.02813954741197197
51,20181130,gchure,Q294V,O1,R260,5.0,7325.492367658823,260.0,0.05661845018747929
61,20181130,gchure,delta,O1,R0,5.0,11459.13749226898,0.0,1.0
0,20181130,gchure,F164T,O3,R260,5.0,7011.273386503153,260.0,-0.0023094363350472124
29,20181130,gchure,delta,O3,R260,5.0,35713.01029374509,260.0,1.0
72,20181130,gchure,Q294V,O3,R260,5.0,6926.966644295229,260.0,-0.005253559317386556
30,20181130,gchure,F164T,O1,R260,10.0,7291.240577439933,260.0,0.030726555709545265
66,20181130,gchure,delta,O1,R0,10.0,12361.144612813481,0.0,1.0
78,20181130,gchure,Q294V,O1,R260,10.0,7188.17008178585,260.0,0.011021351502460782
11,20181130,gchure,Q294V,O3,R260,10.0,7399.538155479618,260.0,0.008566488067417966
52,20181130,gchure,delta,O3,R260,10.0,38533.89326284357,260.0,1.0
58,20181130,gchure,F164T,O3,R260,10.0,6784.167622967998,260.0,-0.011029195417399634
32,20181130,gchure,F164T,O1,R260,25.0,7526.789567464294,260.0,0.08372089388717759
64,20181130,gchure,delta,O1,R0,25.0,13423.842480486828,0.0,1.0
80,20181130,gchure,Q294V,O1,R260,25.0,7187.065888875,260.0,0.030934915342581075
10,20181130,gchure,Q294V,O3,R260,25.0,7187.066184379079,260.0,0.0057751220988269914
45,20181130,gchure,delta,O3,R260,25.0,41462.28792010238,260.0,1.0
54,20181130,gchure,F164T,O3,R260,25.0,7360.038667284188,260.0,0.010792552679512507
12,20181130,gchure,delta,O1,R0,50.0,11654.930198891088,0.0,1.0
35,20181130,gchure,Q294V,O1,R260,50.0,7031.3950423322685,260.0,0.014310015456544908
81,20181130,gchure,F164T,O1,R260,50.0,8066.884864984637,260.0,0.23506576029763707
3,20181130,gchure,delta,O3,R260,50.0,26431.348528624738,260.0,1.0
16,20181130,gchure,F164T,O3,R260,50.0,7114.421450096455,260.0,0.007713012336837104
65,20181130,gchure,Q294V,O3,R260,50.0,7086.881341965685,260.0,0.006298310566420647
26,20181130,gchure,F164T,O1,R260,75.0,8090.041535144996,260.0,0.20139508183854005
41,20181130,gchure,delta,O1,R0,75.0,12433.901150864736,0.0,1.0
73,20181130,gchure,Q294V,O1,R260,75.0,7016.746258608011,260.0,0.004073123417036272
6,20181130,gchure,Q294V,O3,R260,75.0,7880.341057334403,260.0,0.04331614560403363
47,20181130,gchure,F164T,O3,R260,75.0,7828.307136023382,260.0,0.040771511707492186
