,mode,hpd_min,hpd_max
F164T_ka,-5.238339760735673,1.3066985592137748,1.2367397803139566
Q21A_ka,-4.938386224581071,9.136576299488379,1.0883033282062935
Q21M_ka,-5.028821205029496,0.6533442458363616,0.25122742081962635
Q294V_ka,-6.5445503984140485,6.184571987499557,1.9808524663106102
Y20I_ka,-3.7657541803268173,1.5292563117139433,1.0740426441647606
wt_ka,-5.352856688065553,0.06709552335859037,0.08557708395093133
F164T_ki,-0.17029757315699884,1.2785141478517361,7.1631659103375735
Q21A_ki,-0.002697950425959217,0.42985951196278166,2.2295754336757647
Q21M_ki,0.827815422946826,2.645772867805682,0.39314983470305687
Q294V_ki,-1.6291825722530695,1.2038004605253931,2.02028145797231
Y20I_ki,0.7113011739520947,0.18542861354328288,3.7588322530072955
wt_ki,0.42450403242895585,0.12129377655402873,0.014045314288669397
sigma,0.08478976187388303,0.003693856933556783,0.08128131478278934
60.0,59.620639169851984,1.1090272232633538,3.330937967021761
124.0,122.74815389367477,1.4717258644018472,7.173497222243057
260.0,259.9358491151746,2.4163343099144754,2.245955509906821
1220.0,1217.0432722647315,19.56884592245524,15.309656322194087
F164T_eps,-11.972519763158429,13.991844220491634,1.5818292231648705
Q21A_eps,-9.536146991701616,3.382837594234058,0.7148905600709785
Q21M_eps,-15.321843878615086,0.6640219719011338,4.1040632166666065
Q294V_eps,-12.639591052416211,3.3149292001430606,1.3476627085581434
Y20I_eps,-9.070998330071655,6.604299144665648,0.1334581634004568
wt_eps,-13.518983496308447,0.08494317025769149,0.17234915615942015
F164T_Ka,188.3571247744145,159.06031100227744,385.80824773241045
Q21A_Ka,139.54487366891357,109.90963924214975,1140910.127125421
Q21M_Ka,152.75284224230035,43.85553822879801,123.95622283605178
Q294V_Ka,695.4439359534326,683.759993828869,110043.24034589487
Y20I_Ka,43.19627135623683,31.90663029295484,136.8733723482555
wt_Ka,211.21080024864358,17.416539599185114,14.561371704535077
F164T_Ki,1.185657618711429,1.1856573105624517,1.4397771039809608
Q21A_Ki,1.0027015931694534,0.9342919958089265,0.33792083312284804
Q21M_Ki,0.4370029108403525,0.4366756941850961,4.0731846164918135
Q294V_Ki,5.099704374434643,4.98419439729149,8.300742554623795
Y20I_Ki,0.49100489884707965,0.48359843621501547,0.05356245338829313
wt_Ki,0.6540941141638935,0.010721193944702057,0.08255765067377396
