parameter,mean,median,mode,hpd_min,hpd_max,true_mu,true_sig,true_bohr
delta_bohr,-3.240287559625468,-3.4127359744786845,-3.752632389630654,-4.730035066657107,-1.266012488729376,0.0003353501304664781,0.05611044261447395,-8.0
empirical_bohr,-4.759712440374553,-4.587264025521316,-4.247367610369346,-6.733987511270624,-3.269964933342892,0.0003353501304664781,0.05611044261447395,-8.0
fc_mu,0.011783555581373801,0.010078072793939463,0.014100174069362703,5.488441740753025e-06,0.027397437310418438,0.0003353501304664781,0.05611044261447395,-8.0
fc_sigma,0.034056610968940276,0.03227435889356797,0.03053677364200103,0.0196394318214863,0.05306150398298104,0.0003353501304664781,0.05611044261447395,-8.0
delta_bohr,-4.589472479926357,-4.780062678038827,-5.028219854968868,-5.915171944474986,-2.714560147381099,0.00036341632780994085,0.0878709387697985,-7.919597989949748
empirical_bohr,-3.330125510023399,-3.1395353119109215,-2.8913781349808803,-5.205037842568649,-2.004426045474762,0.00036341632780994085,0.0878709387697985,-7.919597989949748
fc_mu,0.04464438025558985,0.04150560199900427,0.052581422066471206,1.2466129747590315e-05,0.09323439583616122,0.00036341632780994085,0.0878709387697985,-7.919597989949748
fc_sigma,0.10334669788258133,0.099776750410008,0.09573248405642674,0.0659757944191827,0.14964792365267174,0.00036341632780994085,0.0878709387697985,-7.919597989949748
delta_bohr,-2.733926485102977,-2.986478679410641,-3.279541864826558,-4.884716112994041,-0.07340268048598375,0.00039383052216581825,0.08080296623291328,-7.839195979899498
empirical_bohr,-5.105269494796506,-4.852717300488857,-4.55965411507294,-7.765793299413514,-2.954479866905457,0.00039383052216581825,0.08080296623291328,-7.839195979899498
fc_mu,0.0106699484265018,0.007746655708192274,0.010357282254322975,7.859888429218032e-06,0.0312661908595554,0.00039383052216581825,0.08080296623291328,-7.839195979899498
fc_sigma,0.06574167881640985,0.06230630625641448,0.059981929291765754,0.03833448899586185,0.10390845941436848,0.00039383052216581825,0.08080296623291328,-7.839195979899498
delta_bohr,-3.0558430126970157,-3.2710982065386816,-3.6970240631705398,-5.288954112058519,-0.6199741889183334,0.00042678898383803984,0.07431650344737632,-7.758793969849246
empirical_bohr,-4.702950957152226,-4.4876957633105645,-4.061769906678706,-7.138819780930913,-2.4698398577907272,0.00042678898383803984,0.07431650344737632,-7.758793969849246
fc_mu,0.015426792466147773,0.011121455073644426,0.016927058124717842,8.332498873109273e-07,0.04521956260749149,0.00042678898383803984,0.07431650344737632,-7.758793969849246
fc_sigma,0.08402238448296058,0.08013660058556786,0.07855820766694584,0.049108270160891095,0.13008464923934251,0.00042678898383803984,0.07431650344737632,-7.758793969849246
delta_bohr,-2.6268271058530113,-2.8702214906022085,-3.243091448718074,-4.711868135791294,-0.14841725673508677,0.0004625043613323557,0.05195718522097889,-7.678391959798995
empirical_bohr,-5.051564853945974,-4.808170469196787,-4.435300511080921,-7.529974703063909,-2.966523824007702,0.0004625043613323557,0.05195718522097889,-7.678391959798995
fc_mu,0.01082306714213363,0.008096688650852057,0.011712690863185937,2.8412539040401086e-06,0.030649706642051466,0.0004625043613323557,0.05195718522097889,-7.678391959798995
fc_sigma,0.05388784317806431,0.05090837640247865,0.049499504918539515,0.030767152342151462,0.08360625652623602,0.0004625043613323557,0.05195718522097889,-7.678391959798995
delta_bohr,-2.8770155405875384,-3.109032725507132,-3.431345244541154,-4.52207265850533,-0.5721429319177451,0.0005012070431646007,0.025088001543479302,-7.597989949748744
empirical_bohr,-4.72097440916121,-4.488957224241611,-4.16664470520759,-7.025847017830999,-3.075917291243414,0.0005012070431646007,0.025088001543479302,-7.597989949748744
fc_mu,0.013025437059794703,0.011107586346497555,0.01526748405395606,3.2294579790703715e-05,0.03196318703456891,0.0005012070431646007,0.025088001543479302,-7.597989949748744
fc_sigma,0.045689220660776776,0.043226827532249865,0.04083135275346453,0.025602256433926877,0.07119788802799439,0.0005012070431646007,0.025088001543479302,-7.597989949748744
delta_bohr,-3.8672776522660053,-4.09984615968325,-4.430799571722976,-5.748535951399688,-1.6554698474402842,0.000543146632043974,0.10197353030778555,-7.517587939698492
empirical_bohr,-3.6503102874324966,-3.417741780015242,-3.086788367975516,-5.862118092258208,-1.7690519882988038,0.000543146632043974,0.10197353030778555,-7.517587939698492
fc_mu,0.038114045622579425,0.03174556982680066,0.04365552334530853,1.474567842318919e-05,0.09599470866076631,0.000543146632043974,0.10197353030778555,-7.517587939698492
fc_sigma,0.1344466974023191,0.12940567059815347,0.12676588856885299,0.08296632539218134,0.19851067699174554,0.000543146632043974,0.10197353030778555,-7.517587939698492
delta_bohr,-3.238237426627994,-3.482898587301153,-3.8230557624396284,-4.915979148312222,-0.9481384947245344,0.0005885935405547688,0.05732243166311,-7.437185929648241
empirical_bohr,-4.198948503020246,-3.9542873423470883,-3.614130167208613,-6.489047434923707,-2.5212067813360193,0.0005885935405547688,0.05732243166311,-7.437185929648241
fc_mu,0.02168026291533747,0.018811663622930574,0.026233606132223475,8.110394855709302e-08,0.05145862334187579,0.0005885935405547688,0.05732243166311,-7.437185929648241
fc_sigma,0.06555631323289544,0.0627095117191081,0.05962183618757087,0.03919189118323065,0.10003796112432763,0.0005885935405547688,0.05732243166311,-7.437185929648241
delta_bohr,-3.083682527760516,-3.1981800598529215,-3.3091152022672725,-4.053245503860987,-2.030690334571445,0.000637840718174399,0.016606693761947178,-7.35678391959799
empirical_bohr,-4.273101391837471,-4.158603859745068,-4.047668717330717,-5.326093585026545,-3.3035384157370022,0.000637840718174399,0.016606693761947178,-7.35678391959799
fc_mu,0.015609825836057889,0.015388846618177632,0.017163314872197466,0.0022024784235566974,0.028549296383971523,0.000637840718174399,0.016606693761947178,-7.35678391959799
fc_sigma,0.021379488480936223,0.020243766402123272,0.018681563345657706,0.012042272000179733,0.03294977872801303,0.000637840718174399,0.016606693761947178,-7.35678391959799
