parameter,mode,hpd_min,hpd_max
a.WT.260,0.026223258622878554,8.799653913316163e-07,0.028479186968727865
a.WT.124,0.8570954426644356,0.0009458658345272708,0.9281276092589972
a.WT.1220,0.5909795279236032,5.1785441098739504e-05,0.9280742077434727
a.WT.60,0.5898189816947254,0.0002913048696728815,0.9297085633536489
a.Q21M.260,0.012458827350337653,1.0938248640179893e-08,0.028846697546276
a.Q21M.124,0.015199267502883362,1.0005922334022088e-05,0.03307047532852481
a.Q21M.1220,0.007544453854450461,1.1557820078778036e-06,0.009306796637827519
a.Q21M.60,0.005097355923437075,7.109922169235006e-06,0.029211530109769845
a.Q21A.260,0.28066762218394636,0.24358239006586513,0.32751292833518364
a.Q21A.124,0.6234132286426018,0.5862114513390423,0.6554401526582881
a.Q21A.1220,0.11984650157692234,0.0913127328271115,0.13784786345424238
a.Q21A.60,0.7736812266783715,0.7485542546197084,0.8329868523808232
a.Y20I.260,0.46159961624681434,0.3894620610705253,0.5180898702356139
a.Y20I.124,0.7049775616634825,0.6817430776221279,0.7775308755801942
a.Y20I.1220,0.15406882888846862,0.07449812287767932,0.20038215117713098
a.Y20I.60,0.7903473114359393,0.7444949180327922,0.8176202164441742
b.WT.260,0.8797122711036833,0.867948821815503,0.9299186979512111
b.WT.124,0.5827015492224016,0.003996773200783621,0.9341566499058032
b.WT.1220,0.47149149678558155,9.593612656677575e-05,0.9379016588529236
b.WT.60,0.19784140124114336,4.321483675739923e-05,0.9326001931306913
b.Q21M.260,0.699556090191543,0.6332846281577447,0.7375710748663049
b.Q21M.124,0.8235365126840547,0.7510645194066664,0.8551203498326534
b.Q21M.1220,0.3797323548408924,0.3482679196222612,0.4063560918220699
b.Q21M.60,0.8770506030847215,0.845959920197075,0.9180915599555187
b.Q21A.260,0.6912526450467391,0.643774321725912,0.7500116156411432
b.Q21A.124,0.37019412497758597,0.3356064331288757,0.4250458770644522
b.Q21A.1220,0.8213579697638649,0.7862908149974558,0.8509482085550312
b.Q21A.60,0.2330819140106093,0.1399809521579779,0.2597127161915327
b.Y20I.260,0.5350621882740055,0.46347246250437046,0.6272852230507577
b.Y20I.124,0.3001212492891697,0.218815149539071,0.3377817891787406
b.Y20I.1220,0.8396538836262808,0.7491126619632231,0.9159180383208649
b.Y20I.60,0.2281213544288423,0.19756795811073358,0.2929749712952123
K.WT.260,72.16704298621082,65.60301938185219,76.92809767263438
K.WT.124,0.5772352820045221,0.03566644170127731,5.1599891263273605
K.WT.1220,1.0894546508384344,0.03970643414563363,5.261562562654335
K.WT.60,2.343969870367856,0.036003876758425465,5.120775876529484
K.Q21M.260,128.3702009391062,94.37055800938165,143.8250819642641
K.Q21M.124,85.9415911103097,69.26738540175842,97.51203498523665
K.Q21M.1220,165.8156451550273,125.10616313840316,193.35462444265733
K.Q21M.60,65.97231469599559,59.25298434759476,72.64540436167572
K.Q21A.260,15.5590975823484,12.614076672161746,18.916963657725187
K.Q21A.124,12.879240188053059,8.438543601849341,17.550829181286787
K.Q21A.1220,26.214790293665,23.90393074130728,29.15236346353535
K.Q21A.60,2.169246029637007,0.3615725314396515,9.24756388359887
K.Y20I.260,3.8734158308358357,2.3356865669630125,7.797981047770095
K.Y20I.124,1.4320600262855252,0.4217858200184605,4.202425603949227
K.Y20I.1220,18.563989431796664,10.497819412242126,19.030837235988212
K.Y20I.60,2.4726871156758636,0.5251301843793166,4.140026827203569
n.WT.260,1.5520395338249817,1.2807190054824047,1.6149423991472085
n.WT.124,0.8481602946838339,0.0006771706063957733,1.9397963412150774
n.WT.1220,1.7525272439223853,3.873692271309e-05,1.9582452286393155
n.WT.60,0.43879347545685377,4.4779322818359574e-05,1.9775526448034801
n.Q21M.260,1.3861349754543126,1.0709853539819694,1.6158140783664814
n.Q21M.124,1.2708802587076908,1.1492889101630246,1.7032716678310906
n.Q21M.1220,1.3318184509215516,1.0522134361553643,1.543833917244618
n.Q21M.60,1.4191746205923048,1.2394140526226909,1.629175841355271
n.Q21A.260,1.4455566356276306,1.2483811018097273,2.025540229044047
n.Q21A.124,1.3605572106321322,0.8399731428204193,1.6758258594280662
n.Q21A.1220,1.4910413857826947,1.3753488822441258,1.7399820361748974
n.Q21A.60,0.44170255190875035,0.2595295636141789,1.384300494808924
n.Y20I.260,1.272973607348325,0.6017510886791301,1.8446346714177004
n.Y20I.124,0.7854492364843848,0.45592929178966246,1.9420529552301793
n.Y20I.1220,1.1530642420416586,0.8850690368166879,1.6170571573194628
n.Y20I.60,0.7116821434304721,0.3595189856622791,1.1389044005770137
sigma.WT.260,0.09591301607396531,0.08487666876354309,0.09872283298480523
sigma.WT.124,0.5522857482523111,7.162605452416212e-05,1.9463111821305228
sigma.WT.1220,0.9511148669188318,3.156948190811644e-05,1.9581081671541767
sigma.WT.60,1.3659350804288954,0.00011019203145419694,1.9607911338717523
sigma.Q21M.260,0.08037851304730285,0.06578460149687519,0.08913424348400524
sigma.Q21M.124,0.07728511064249766,0.06468040140279956,0.08965315825507497
sigma.Q21M.1220,0.04030656955798494,0.030844460471363033,0.0435308403033958
sigma.Q21M.60,0.05605325912224996,0.04605693744621001,0.06398259418434209
sigma.Q21A.260,0.09023683912952439,0.06804446579769002,0.09492088359878069
sigma.Q21A.124,0.05679941181456936,0.04912176124423699,0.06979295123382481
sigma.Q21A.1220,0.04440499777013154,0.036994060895541234,0.0520712591651165
sigma.Q21A.60,0.0649649926442956,0.054169060796057704,0.07555768907850545
sigma.Y20I.260,0.12478081652349249,0.09945304361853073,0.13930294761302064
sigma.Y20I.124,0.08574845847372549,0.06675951312973567,0.09339504309387542
sigma.Y20I.1220,0.10836299582584023,0.09135875783913171,0.12902975968570987
sigma.Y20I.60,0.04208535188753187,0.03767296458753004,0.05343243529932325
