,ep_RA.Q21M.260,ep_RA.Q21M.124,ep_RA.Q21M.1220,ep_RA.Q21M.60,ep_RA.Q21A.260,ep_RA.Q21A.124,ep_RA.Q21A.1220,ep_RA.Q21A.60,ep_RA.Y20I.260,ep_RA.Y20I.124,ep_RA.Y20I.1220,ep_RA.Y20I.60,logp
0,-15.420499599700854,-15.439477854885533,-15.2346969853034,-15.798864739460292,-11.0684253866684,-10.212311391240467,-11.302523117326354,-9.85533972936366,-9.908901655323314,-9.439499178364093,-9.934734354124316,-9.87890864748489,1874.6443662325137
1,-15.406414635077718,-15.573957414814805,-15.146664460511799,-15.82238892231387,-11.010627184810623,-10.15171168079574,-11.184781848792637,-9.772275373507885,-9.66973677433929,-9.368884214311658,-10.30466622724582,-9.775055778067815,1867.8281053762385
2,-15.498516392560024,-15.596329405416329,-15.203063069976753,-15.787700458223537,-11.129176476609901,-10.245096275205352,-11.095816870575852,-9.763747950617994,-9.978607021675387,-9.103570068896556,-9.869070101401942,-9.680646058483736,1873.1569880452928
3,-15.470998197174467,-15.592435597562426,-15.190269527577552,-15.814486189400663,-11.077338428804886,-10.145680673846641,-11.233503273037675,-9.960421497117787,-10.074134707927598,-9.398028927671328,-10.210538079491405,-9.903805550366226,1873.300018573095
4,-15.48290878833327,-15.518024301476183,-15.259754192354384,-15.791765666618982,-11.20022480531983,-10.18577768248904,-11.167384059430626,-9.818073162786426,-9.748081354002348,-9.357429378814027,-9.933354651589699,-9.820492945705205,1870.9907134639604
5,-15.534868548055227,-15.55666071950762,-15.303894110903155,-15.85321564987923,-11.004775714310341,-10.092797711078513,-11.215486729777131,-9.814522737175041,-9.769481833506003,-9.440098222034965,-10.010876050313863,-9.920811535024091,1867.2399781569673
6,-15.397168895053676,-15.581176317706841,-15.288109780747835,-15.799605867851705,-11.065101605730154,-10.253117239994326,-11.194754143425687,-9.872008961276634,-10.011598059772705,-9.464753996758139,-10.20723951472337,-9.736322460382004,1876.1171983918398
7,-15.426207521632755,-15.531040382122601,-15.227965906652157,-15.711234646429435,-11.159071796758942,-10.052001396685647,-11.207363647717019,-10.084350546147874,-9.827331353968653,-9.344049051214812,-10.00356189226281,-9.752437777887037,1873.8611120568462
8,-15.56039396591111,-15.486451196234354,-15.163434258583932,-15.757021219297298,-11.054813460538037,-10.254879182395461,-11.122238318108185,-9.620669543226223,-10.074218659935498,-9.42613949679587,-10.262181167316735,-9.773278188683031,1870.2088626192078
9,-15.441687378892894,-15.522023461426356,-15.182858090007517,-15.761031026677287,-11.219171058774945,-10.225553914975308,-11.096864147150159,-9.882950166574188,-9.907213558946845,-9.254023468364569,-10.096965226272792,-9.815628899927153,1876.2665316168152
10,-15.528181843638327,-15.572822680407748,-15.243534278818432,-15.888704091926494,-11.137607406056977,-10.19655518310441,-11.073912598157907,-9.764303508701234,-9.820775693906132,-9.378097789672324,-9.956247174188379,-9.76202216757208,1872.3331140238747
11,-15.457653596177764,-15.493506725024417,-15.26378760585654,-15.696348995618786,-11.19669768953909,-10.22265789010715,-11.266082861869759,-9.906874166757555,-9.980555015654028,-9.380179899086942,-10.098128024882966,-9.724711098347127,1872.0274268265134
12,-15.483808885756325,-15.40714995888156,-15.188965950870287,-15.744170105475103,-11.103972964961837,-10.139649056225538,-11.142242121993984,-9.764225654289465,-9.975110955053788,-9.390622081911712,-10.261914090742316,-9.837671425812225,1871.5743442857754
13,-15.471260399857265,-15.5877195784738,-15.144276673288015,-15.867550224963722,-11.058291462602273,-10.165745203794833,-11.2264961602059,-9.683254566813192,-9.808310685472378,-9.31831089828587,-10.351349110298468,-9.932258417201599,1871.3373266596932
14,-15.403848768539524,-15.501593247064738,-15.197957018768179,-15.766749233798913,-11.128542883641577,-10.275250677245067,-11.14035029900748,-9.813167068215993,-9.955946701556973,-9.350485140506537,-10.09586374604731,-9.851601048740205,1877.5317379104197
15,-15.492845541122842,-15.573485349108575,-15.211165497050635,-15.69644565474495,-11.27229303779344,-10.253876093089456,-11.162678054561308,-9.860334395476434,-9.879541038671718,-9.465713545544164,-10.090094491777066,-9.744803043980745,1875.8720114743337
