# Date : 2018-11-30# Equipment : MACSQuant (Bjorkman lab)# User : gchure # Description :# An IPTG titration run of inducer mutants Q294V and F164T in O1 and O3date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
20190103,gchure,delta,O2,R0,0.0,16164.498502041672,0.0,1.0
20190103,gchure,Y20I-Q294K,O2,R260,0.0,15198.574727942148,260.0,0.9092810473896552
20190103,gchure,delta,O2,R0,0.1,17683.058080778676,0.0,1.0
20190103,gchure,Y20I-Q294K,O2,R260,0.1,15358.754968154291,260.0,0.8131393386698775
20190103,gchure,Y20I-Q294K,O2,R260,5.0,16781.88149378212,260.0,1.034543794639958
20190103,gchure,delta,O2,R0,5.0,16394.50990406967,0.0,1.0
20190103,gchure,Y20I-Q294K,O2,R260,10.0,16034.490320642477,260.0,0.992060194478047
20190103,gchure,delta,O2,R0,10.0,16119.189024052816,0.0,1.0
20190103,gchure,Y20I-Q294K,O2,R260,25.0,16508.851364132537,260.0,1.002912983543532
20190103,gchure,delta,O2,R0,25.0,16475.832737317065,0.0,1.0
20190103,gchure,delta,O2,R0,50.0,16590.37488346486,0.0,1.0
20190103,gchure,Y20I-Q294K,O2,R260,50.0,15789.261627959579,260.0,0.9305444540311565
20190103,gchure,Y20I-Q294K,O2,R260,75.0,16017.632850403674,260.0,0.947335224437969
20190103,gchure,delta,O2,R0,75.0,16623.96266750266,0.0,1.0
20190103,gchure,Y20I-Q294K,O2,R260,100.0,15596.703803460623,260.0,0.922114315608967
20190103,gchure,delta,O2,R0,100.0,16491.06283775616,0.0,1.0
20190103,gchure,Y20I-Q294K,O2,R260,250.0,15943.215135658798,260.0,0.9152956771496118
20190103,gchure,delta,O2,R0,250.0,16945.801814806804,0.0,1.0
20190103,gchure,Y20I-Q294K,O2,R260,500.0,16697.809057824797,260.0,1.0630131042090953
20190103,gchure,delta,O2,R0,500.0,16020.282027301857,0.0,1.0
20190103,gchure,Y20I-Q294K,O2,R260,1000.0,15015.601228493726,260.0,0.8399955530407082
20190103,gchure,delta,O2,R0,1000.0,16877.884911746336,0.0,1.0
20190103,gchure,delta,O2,R0,5000.0,16699.432803950385,0.0,1.0
20190103,gchure,Y20I-Q294K,O2,R260,5000.0,15464.243351892877,260.0,0.8935552658770187
# Date : 2019-01-03# Equipment : MACSQuant (Bjorkman lab)# User : gchure # Description :# An IPTG titration run of double mutant Y20IQ294Kdate,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
20190103,gchure,delta,O2,R0,0.0,16164.498502041672,0.0,1.0
20190103,gchure,Y20I-Q294K,O2,R260,0.0,15198.574727942148,260.0,0.9092810473896552
20190103,gchure,delta,O2,R0,0.1,17683.058080778676,0.0,1.0
20190103,gchure,Y20I-Q294K,O2,R260,0.1,15358.754968154291,260.0,0.8131393386698775
20190103,gchure,Y20I-Q294K,O2,R260,5.0,16781.88149378212,260.0,1.034543794639958
20190103,gchure,delta,O2,R0,5.0,16394.50990406967,0.0,1.0
20190103,gchure,Y20I-Q294K,O2,R260,10.0,16034.490320642477,260.0,0.992060194478047
20190103,gchure,delta,O2,R0,10.0,16119.189024052816,0.0,1.0
20190103,gchure,Y20I-Q294K,O2,R260,25.0,16508.851364132537,260.0,1.002912983543532
20190103,gchure,delta,O2,R0,25.0,16475.832737317065,0.0,1.0
20190103,gchure,delta,O2,R0,50.0,16590.37488346486,0.0,1.0
20190103,gchure,Y20I-Q294K,O2,R260,50.0,15789.261627959579,260.0,0.9305444540311565
20190103,gchure,Y20I-Q294K,O2,R260,75.0,16017.632850403674,260.0,0.947335224437969
20190103,gchure,delta,O2,R0,75.0,16623.96266750266,0.0,1.0
20190103,gchure,Y20I-Q294K,O2,R260,100.0,15596.703803460623,260.0,0.922114315608967
20190103,gchure,delta,O2,R0,100.0,16491.06283775616,0.0,1.0
20190103,gchure,Y20I-Q294K,O2,R260,250.0,15943.215135658798,260.0,0.9152956771496118
20190103,gchure,delta,O2,R0,250.0,16945.801814806804,0.0,1.0
20190103,gchure,Y20I-Q294K,O2,R260,500.0,16697.809057824797,260.0,1.0630131042090953
20190103,gchure,delta,O2,R0,500.0,16020.282027301857,0.0,1.0
20190103,gchure,Y20I-Q294K,O2,R260,1000.0,15015.601228493726,260.0,0.8399955530407082
20190103,gchure,delta,O2,R0,1000.0,16877.884911746336,0.0,1.0
20190103,gchure,delta,O2,R0,5000.0,16699.432803950385,0.0,1.0
20190103,gchure,Y20I-Q294K,O2,R260,5000.0,15464.243351892877,260.0,0.8935552658770187
