Ka.Q294R,Ka.Q294K,Ki.Q294R,Ki.Q294K,ep_AI.Q294R,ep_AI.Q294K,sigma.Q294R,sigma.Q294K,ep_a.1,ep_a.2,ep_i.1,ep_i.2,logp
6796.7877542880005,1071.6476756934535,3645.910482596687,323.64707153234696,-1.9615895674212147,-3.271299973532792,0.018616061870688674,0.042816224718636324,8.824205390478035,6.976952626876253,8.201361402714676,5.779653636695824,575.0630715603459
8648.012531629693,1434.4940365371829,5771.946074523391,428.7681816010569,-1.9858860115276642,-3.396132348023333,0.016221196490035696,0.044649532729192025,9.065084808396358,7.268567478241069,8.660764577251953,6.060916403647643,577.2173379760965
6578.362702701268,1183.9011721769477,4428.037779424639,358.18907326449323,-2.0126530675383547,-3.3501095114836286,0.01435622434275772,0.04487903931657798,8.79154116397949,7.076570342515038,8.395711825730848,5.881060984595433,577.419820817064
9898.181873670479,1264.6811907264832,5939.793117655806,401.80621343337884,-2.0215837732511046,-3.418220993896992,0.014809027271984198,0.04067758242308614,9.200106370132922,7.142575346257332,8.689429583072684,5.995969916256735,573.2120151098449
4297.299576723514,1495.1297200643633,3324.3360555718673,428.45525782590823,-2.059506668027771,-3.315889848183595,0.017673636180432075,0.04574009173441562,8.36574209899052,7.3099682513343724,8.109025250615966,6.060186316777275,576.99234913318
5564.5289556373,1534.4719323618294,4984.854921266333,487.33100868373015,-2.1476033943226467,-3.450350825839243,0.018511972427419674,0.04353866679934787,8.6241676160368,7.335941582828206,8.514159578916535,6.188943581487412,574.7171697808682
5513.962899813836,1247.9984561378822,3929.071799810482,385.51322954034185,-2.0491078376620644,-3.4122443269510656,0.017101810882655985,0.042564661193933706,8.615038863199452,7.129296311859603,8.27615849371332,5.954575510288318,577.5192239974682
5610.150772516869,1265.0318456357234,4600.274129490648,382.18380866938185,-2.18732321581281,-3.3671837471780375,0.018033763947651545,0.0446783978590395,8.632332873827053,7.142852575260342,8.433871174069104,5.945901667406412,576.7193254837533
7989.7561397000545,1243.83230373466,5549.183349793291,383.3127891328458,-2.004028515128065,-3.371397179388851,0.01485457136761226,0.0424147779596913,8.985915517606202,7.1259524601404225,8.621406051732324,5.94885133768651,576.9967360723759
4695.1846303843995,1306.9957932137254,3377.568414426463,382.7392119454065,-2.1496973184454173,-3.3664693727018364,0.016322941150358636,0.04476437987659734,8.454292715764666,7.175486494960836,8.124911325565982,5.947353848498262,576.9065357355155
2988.758540619034,1350.0244687606155,2185.5163879308793,415.1690215660053,-1.9706370574318897,-3.4079396188335336,0.01467346940213392,0.05180294952363738,8.002613376357422,7.207877996276083,7.689607412756555,6.028685718196293,574.9586834711118
2688.4838317946756,1241.0572459013235,2431.6145878226303,394.3663210769999,-2.0859047499862564,-3.39089905094657,0.017525855964425026,0.039234535930684246,7.896732682392957,7.1237189129894745,7.796310755125625,5.977280226275512,574.630516324952
6952.897049459279,1347.0386541014489,4433.441439854706,397.1002419516301,-1.9943346502914667,-3.3471793179095184,0.018365344082000325,0.04465469659804649,8.84691369335331,7.20566387243623,8.39693141017406,5.984188747433495,577.3835066579002
3354.810905283524,1074.8936987196323,2970.3909915561644,332.6022650599414,-1.98983683065745,-3.2914314323664993,0.013939231562435504,0.04464272212428909,8.118150685755838,6.979977050760358,7.996448870120648,5.806947376897819,573.2146344487815
8435.187836482926,1598.6239488852361,5014.405403153369,499.31133682381113,-2.066484325904846,-3.450645856706231,0.017458013953916964,0.04734655139435187,9.040167263431938,7.376898506241491,8.520070129688516,6.21322982268403,576.0556807129082
6039.739146580137,1535.2517211480033,3806.193762513317,455.87243771312956,-1.8935818436002378,-3.397098231661102,0.01585817125237,0.04276422097426603,8.706116102343952,7.3364496342953505,8.244384956311503,6.122213028522162,575.7210268566649
6226.674789975513,1336.3660608207317,3644.7391164148735,417.76550806638335,-1.940887495379999,-3.3533165523250417,0.018399854353676314,0.04697028604216999,8.736597727713795,7.197709314186406,8.201040068881255,6.034920289626403,575.0559603547861
9981.317502450367,1723.425768649669,7948.21908049575,496.9352332480681,-2.058448737866153,-3.430095425996172,0.015383893046803047,0.04732159784797766,9.208470374865977,7.45206931491024,8.98070316752128,6.208459702208598,571.0901516847695
945.5441270303721,1440.7365668796701,1001.3522590844482,433.1205824930462,-2.0142338268767035,-3.365293572611156,0.018933239489446946,0.0497563212433585,6.8517605575862826,7.272909766573619,6.909106624587683,6.071016170741902,570.935578350566
9138.166864921457,1431.1792180287152,6092.58110521905,428.69339479794877,-2.0554306243818474,-3.4432071394054122,0.018613676814887938,0.04263451354827322,9.120215082508198,7.266254011427202,8.71482709771589,6.0607419659693695,573.834197033305
9028.36906519444,828.5468255203299,4861.993715334679,282.651472275961,-2.0506200563757506,-3.360979615892274,0.017813753203284426,0.05103997853457613,9.108127017163273,6.719673353700808,8.489203862266159,5.644214591938305,572.1592436057601
9758.794027458056,1535.882756171376,5229.8817710243675,470.1274295041491,-2.01865426625053,-3.427038895242121,0.016564996375747876,0.04779358395698564,9.185924109012186,7.336860580176694,8.562143950880769,6.153003784560501,575.3004168593617
8329.612680041753,1308.574545328579,6309.404460069826,377.56653161064133,-2.047989229503041,-3.321286701212341,0.014729799055027842,0.041942900655790476,9.027572237086083,7.176693690411342,8.749796570743568,5.933746795837359,575.905810257831
