# Date : 2018-06-02# Equipment : MACSQuant (Bjorkman lab)# User : sbarnes# Description :# A titration run of six replicates of Q294K in O2 date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,run_no,fold_change
20180605,gchure,Q294K,O2,R260,0.0,7251.371570917687,260.0,r2,0.2547850976060331
20180605,gchure,Q294K,O2,R260,0.0,7306.920446498004,260.0,r5,0.2616957627177188
20180605,gchure,delta,O2,R0,0.0,13241.511336724197,0.0,r1,1.0
20180605,gchure,auto,O2,R0,0.0,5203.373953046716,0.0,r1,0.0
20180605,gchure,Q294K,O2,R260,0.0,6693.94493166985,260.0,r6,0.18543736035787825
20180605,gchure,Q294K,O2,R260,0.0,7391.874291759805,260.0,r1,0.2722646098531648
20180605,gchure,Q294K,O2,R260,0.0,7238.101154256531,260.0,r4,0.2531341658008486
20180605,gchure,Q294K,O2,R260,0.0,7270.396552975961,260.0,r3,0.2571519372294646
20180605,gchure,Q294K,O2,R260,0.1,7035.910716891009,260.0,r5,0.24771164632955617
20180605,gchure,Q294K,O2,R260,0.1,7227.922345105231,260.0,r1,0.2716634205947915
20180605,gchure,Q294K,O2,R260,0.1,7093.384792257383,260.0,r4,0.25488103545500373
20180605,gchure,auto,O2,R0,0.1,5050.107243099946,0.0,r1,0.0
20180605,gchure,Q294K,O2,R260,0.1,7079.052000319591,260.0,r2,0.25309314479297784
20180605,gchure,Q294K,O2,R260,0.1,6921.531519776603,260.0,r3,0.23344384007530883
20180605,gchure,Q294K,O2,R260,0.1,6956.885201410392,260.0,r6,0.23785390320436464
20180605,gchure,delta,O2,R0,0.1,13066.700339207931,0.0,r1,1.0
20180605,gchure,Q294K,O2,R260,5.0,6767.548931958238,260.0,r3,0.2289828454356049
20180605,gchure,Q294K,O2,R260,5.0,6738.605743334964,260.0,r4,0.2253098003549503
20180605,gchure,Q294K,O2,R260,5.0,7145.426334619735,260.0,r1,0.27693750423295144
20180605,gchure,Q294K,O2,R260,5.0,6652.675450963783,260.0,r6,0.21440478771859636
20180605,gchure,auto,O2,R0,5.0,4963.189458712793,0.0,r1,0.0
20180605,gchure,delta,O2,R0,5.0,12843.078757026504,0.0,r1,1.0
20180605,gchure,Q294K,O2,R260,5.0,6925.457464968346,260.0,r5,0.24902228089365128
20180605,gchure,Q294K,O2,R260,5.0,7312.27237659949,260.0,r2,0.2981111572708767
20180605,gchure,Q294K,O2,R260,10.0,6740.58853623298,260.0,r6,0.27451792042342965
20180605,gchure,auto,O2,R0,10.0,4885.759601683127,0.0,r1,0.0
20180605,gchure,Q294K,O2,R260,10.0,6974.061665208371,260.0,r1,0.3090723511028443
20180605,gchure,delta,O2,R0,10.0,11642.436658280656,0.0,r1,1.0
20180605,gchure,Q294K,O2,R260,10.0,7357.240099386575,260.0,r2,0.36578342830373717
20180605,gchure,Q294K,O2,R260,10.0,6754.036359589857,260.0,r5,0.2765082217570928
20180605,gchure,Q294K,O2,R260,10.0,7171.7253279644365,260.0,r4,0.3383269182666038
