ep_RA.Q21M,ep_RA.Q21A,ep_RA.Y20I,sigma.Q21M,sigma.Q21A,sigma.Y20I,logp
-15.529806680202165,-10.67815456828232,-9.876899794105361,0.07109774593252471,0.0933787554362571,0.0973894201916514,1752.75169834071
-15.510662802139583,-10.64417753820874,-9.890058291470714,0.07027344687006072,0.09348184658714896,0.09660573127710778,1753.107154606398
-15.499834076117953,-10.637462868028717,-9.86743803291249,0.06885856169262086,0.09404253722044079,0.09871095321991297,1753.4071759841386
-15.542430273705303,-10.623600139794679,-9.811842469859986,0.06530680699347631,0.09846442868074831,0.09167393276510911,1752.0116578437076
-15.49551326960042,-10.6404191748665,-9.827948360646314,0.06524640451128155,0.09537272910526774,0.09581893556343248,1753.0550472293598
-15.510383281712944,-10.680141398228649,-9.854009553115873,0.07441225205477729,0.09189501415451182,0.09371462477322538,1750.6018854488677
-15.55960255665807,-10.573848822832437,-9.863516960489653,0.06770866827968294,0.08940115801104277,0.09332819555834242,1750.327488137438
-15.511405411406736,-10.618458272451095,-9.907715158242945,0.07114810873623378,0.09279598404137436,0.0973758318768627,1752.1598854212873
-15.51598171592426,-10.60021184282791,-9.785928758992164,0.06716525414899986,0.09469466277944548,0.08786815452421655,1750.3653413771906
-15.54127474096445,-10.560626019866522,-9.816904228377723,0.06747971172779021,0.09367987539342992,0.0928057170782196,1751.6634800912145
-15.52429854400745,-10.613129062267015,-9.897972305491813,0.06586681081045946,0.09308539410347724,0.10124361909625199,1752.1943620502657
-15.529771293769397,-10.703197706791267,-9.754588113600455,0.06656271219062723,0.096235680472469,0.09500140607389174,1751.5843994426236
-15.493648855796026,-10.59132851592168,-9.797163559749825,0.06556814350159246,0.09536340017643179,0.09838125207004292,1752.0921624043362
-15.508627055971528,-10.600788350054678,-9.74389497126058,0.06800630254089518,0.09807762665103736,0.1048092474092134,1750.0038866208934
-15.492875275818722,-10.598944857482957,-9.8280743432996,0.0696332515824999,0.09854177895261748,0.09889172304052828,1752.4432809574164
-15.512921377367084,-10.652000661889918,-9.872011836962747,0.06333747912123684,0.10151558840619357,0.09983466232267073,1750.721660347875
-15.509680141342736,-10.704062881606735,-9.80848269143643,0.07083239542935535,0.09335899383109668,0.10370563631256237,1750.8591755076102
-15.484875167964033,-10.640911067550482,-9.865216341454607,0.06824780902583008,0.09757043922720396,0.0890774055275132,1751.011105602965
-15.560939768344001,-10.604060796056219,-9.765972875345147,0.06957860490779949,0.09338762339312401,0.09777492514588772,1751.4680307562996
-15.539885395999011,-10.64056591044426,-9.729521914874178,0.06892200018547723,0.09584213300456014,0.10359714718118561,1750.4360981311122
-15.504148013125835,-10.669956750403282,-9.803244263329002,0.06387650099721538,0.09249935319995835,0.0989622191624526,1751.7755630118884
-15.494051207028928,-10.776791554861305,-9.786254454311774,0.06919813397775118,0.09725425770921835,0.09878241046469663,1748.624309877742
-15.559742506277722,-10.638825992369238,-9.912345031788966,0.06733400667355059,0.09012610741024488,0.0987184711792245,1751.0888873611702
-15.495795967771251,-10.615319937302727,-9.826568643609535,0.06740280196008894,0.09900359373175689,0.09022427737812319,1751.7013536190725
-15.517929924331916,-10.645635396030425,-9.86646215172883,0.06629166092725051,0.09435749675452001,0.09766038136360719,1753.7184238852512
