,IPTGuM,hpd_max,hpd_min,mode,mutant
0,0.0,3.38622312073296,2.8932199867561845,3.1422761661606646,Y20I-Q294K
1,0.1,3.386390583740404,2.8935294688189117,3.142553400908323,Y20I-Q294K
2,5.0,3.4016473948664148,2.915213620409588,3.1560736737124744,Y20I-Q294K
3,10.0,3.4118907115712815,2.9314680297562408,3.1697414846374965,Y20I-Q294K
4,25.0,3.4536413255218,2.9874041310796615,3.209987133468883,Y20I-Q294K
5,50.0,3.523176509823262,3.072323160572192,3.274652998094913,Y20I-Q294K
6,75.0,3.590751183899373,3.1468621514912947,3.336499612450753,Y20I-Q294K
7,100.0,3.6576855766807945,3.2149909455274983,3.3957296610885983,Y20I-Q294K
8,250.0,4.0312036880897075,3.5444101313565612,3.7052566098319506,Y20I-Q294K
9,1000.0,5.080718128210993,4.438559554312688,4.616833238082425,Y20I-Q294K
10,5000.0,6.75715568315494,5.3795264349480405,5.866090353246756,Y20I-Q294K
11,500.0,4.492313030054855,3.93374291900426,4.096364320936882,Y20I-Q294K
12,0.0,0.09797359048241461,-0.2724468028151481,-0.14484892122927384,Y20I-F164T
13,0.1,0.10199057650264898,-0.26882792320344073,-0.14071044216074746,Y20I-F164T
14,5.0,0.8267385931123723,0.26004119200062803,0.5302816218966306,Y20I-F164T
15,10.0,1.67448909016864,0.8995893382186058,1.3122224935847502,Y20I-F164T
16,25.0,3.0799944640240096,2.2740338429001437,2.704792626938403,Y20I-F164T
17,50.0,4.126319766823442,3.4753558484143117,3.7734776702651818,Y20I-F164T
18,75.0,4.701330933697777,4.121222049529298,4.341282622219903,Y20I-F164T
19,100.0,5.125451427436232,4.515926174261442,4.7056514467817445,Y20I-F164T
20,250.0,6.62330866902317,5.344505249231558,5.610401346895983,Y20I-F164T
21,1000.0,8.683897100574624,5.793890645424795,6.291938744856993,Y20I-F164T
22,5000.0,9.923247503683774,5.870719518229924,6.521989074605575,Y20I-F164T
23,500.0,7.742932878623086,5.655313437030873,6.037615086013532,Y20I-F164T
24,0.0,0.09797359048241461,-0.2724468028151481,-0.14484892122927384,Y20I-Q294V
25,0.1,0.09869701032052092,-0.27182968676406993,-0.14418217585637194,Y20I-Q294V
26,5.0,0.15363843310522896,-0.219944522380759,-0.08959647804918269,Y20I-Q294V
27,10.0,0.2524400670459723,-0.13780331716399807,0.0036096963742799915,Y20I-Q294V
28,25.0,0.7200862957928535,0.16598012732691814,0.4019111126253385,Y20I-Q294V
29,50.0,1.4927176331789997,0.7033394250308955,1.0854720694928837,Y20I-Q294V
30,75.0,2.0643225161928944,1.190516057148427,1.6269332875269775,Y20I-Q294V
31,100.0,2.4886822292907693,1.6000462147131884,2.0459436712579615,Y20I-Q294V
32,250.0,3.7724337461027204,3.03627862619245,3.3856392812460783,Y20I-Q294V
33,1000.0,5.376570731883042,4.648946945669943,4.899924886463218,Y20I-Q294V
34,5000.0,6.604097586880992,5.200523246661532,5.6456198730016265,Y20I-Q294V
35,500.0,4.609644436036036,4.00784934277808,4.249853152447493,Y20I-Q294V
36,0.0,2.1584024994103608,1.6791205556519309,2.0072910549581504,Q21A-Q294K
37,0.1,2.1589187152907803,1.6797863829032273,2.0075682897058087,Q21A-Q294K
38,5.0,2.1711188682611873,1.6986280368165474,2.02108856250996,Q21A-Q294K
39,10.0,2.1845093901754513,1.7180405246466872,2.0347563734349823,Q21A-Q294K
40,25.0,2.227350034056723,1.7759816597046587,2.0750020222663688,Q21A-Q294K
41,50.0,2.2933982901303844,1.8583444861074216,2.139667886892399,Q21A-Q294K
42,75.0,2.3599694112581533,1.9321216913683372,2.201514501248239,Q21A-Q294K
43,100.0,2.4294709945973736,2.002881567700417,2.260744549886084,Q21A-Q294K
44,250.0,2.8028222348413214,2.3304860353108108,2.5702714986294364,Q21A-Q294K
45,1000.0,3.8543931129088262,3.2224969172341744,3.4818481268799104,Q21A-Q294K
46,5000.0,5.532324167268008,4.160241534570984,4.731105242044242,Q21A-Q294K
47,500.0,3.2630389856883957,2.716245016097907,2.9613792097343676,Q21A-Q294K
48,0.0,-1.1316156809975428,-1.4782509354993447,-1.279834032431788,Q21A-F164T
49,0.1,-1.128036511139193,-1.4750394610231332,-1.2756955533632617,Q21A-F164T
50,5.0,-0.4008942679829506,-0.9548854783648881,-0.6047034893058836,Q21A-F164T
51,10.0,0.44923577957712446,-0.3167129669357447,0.17723738238223596,Q21A-F164T
52,25.0,1.8550576024136953,1.058415477645024,1.5698075157358886,Q21A-F164T
53,50.0,2.896926510576751,2.2561975276298787,2.6384925590626676,Q21A-F164T
54,75.0,3.4759977476555797,2.9067215438627896,3.2062975110173886,Q21A-F164T
55,100.0,3.8982147647548917,3.2984363010165687,3.5706663355792303,Q21A-F164T
56,250.0,5.405296086204878,4.133562176642328,4.475416235693468,Q21A-F164T
57,1000.0,7.458046336276791,4.57820250261412,5.156953633654479,Q21A-F164T
58,5000.0,8.678337090623957,4.640741182366388,5.38700396340306,Q21A-F164T
59,500.0,6.526638316403967,4.443922080192054,4.902629974811018,Q21A-F164T
60,0.0,-1.1316156809975428,-1.4782509354993447,-1.279834032431788,Q21A-Q294V
61,0.1,-1.1310064298463516,-1.477726306556777,-1.2791672870588862,Q21A-Q294V
62,5.0,-1.0757187178683605,-1.42532811598792,-1.224581589251697,Q21A-Q294V
63,10.0,-0.9785406935520857,-1.3480766745833623,-1.1313754148282342,Q21A-Q294V
64,25.0,-0.5092003390372817,-1.0512103500101535,-0.7330739985771757,Q21A-Q294V
65,50.0,0.2711316766645293,-0.5096490826784361,-0.049513041709630556,Q21A-Q294V
66,75.0,0.8417238620051801,-0.02389148806789798,0.4919481763244633,Q21A-Q294V
67,100.0,1.2642756581174108,0.3842019786681057,0.9109585600554464,Q21A-Q294V
68,250.0,2.548106963672325,1.822455604794321,2.250654170043564,Q21A-Q294V
69,1000.0,4.147808273647504,3.4298651827961253,3.7649397752607037,Q21A-Q294V
70,5000.0,5.375286760825951,3.979168115710201,4.510634761799112,Q21A-Q294V
71,500.0,3.37875876930749,2.7891725606083684,3.1148680412449785,Q21A-Q294V
72,0.0,-2.261029790689557,-2.6484283630896623,-2.38670096054404,Q21M-Q294K
73,0.1,-2.2605779001415574,-2.647793877730317,-2.386423725796382,Q21M-Q294K
74,5.0,-2.248481439268641,-2.627741660695616,-2.3729034529922313,Q21M-Q294K
75,10.0,-2.2350177664030166,-2.6066022766601726,-2.3592356420672083,Q21M-Q294K
76,25.0,-2.199128109742091,-2.5518534334653626,-2.3189899932358227,Q21M-Q294K
77,50.0,-2.131970226771992,-2.4640200309387357,-2.2543241286097917,Q21M-Q294K
78,75.0,-2.0655484670219533,-2.38837410103109,-2.1924775142539517,Q21M-Q294K
79,100.0,-1.9982945597500912,-2.3199101765497563,-2.1332474656161065,Q21M-Q294K
80,250.0,-1.6188921731418962,-2.0001322423835344,-1.8237205168727542,Q21M-Q294K
81,1000.0,-0.5543181771596242,-1.1203923077105724,-0.9121438886222801,Q21M-Q294K
82,5000.0,1.1356842281833828,-0.20461154577062324,0.33711322654205134,Q21M-Q294K
83,500.0,-1.149707229493318,-1.6197822714079653,-1.432612805767823,Q21M-Q294K
84,0.0,-5.577607672838699,-5.782512380073415,-5.673826047933979,Q21M-F164T
85,0.1,-5.5741753401326335,-5.7793445735866555,-5.669687568865452,Q21M-F164T
86,5.0,-4.816397467639435,-5.293690818741512,-4.998695504808074,Q21M-F164T
87,10.0,-3.9569623886927925,-4.669299022456103,-4.216754633119955,Q21M-F164T
88,25.0,-2.5470792739765074,-3.292827899870714,-2.824184499766302,Q21M-F164T
89,50.0,-1.5057120300223694,-2.082489002953304,-1.755499456439523,Q21M-F164T
90,75.0,-0.93441556666229,-1.4304689007760185,-1.187694504484801,Q21M-F164T
91,100.0,-0.5093802072053251,-1.0411984052004293,-0.8233256799229611,Q21M-F164T
92,250.0,1.022018019056766,-0.2120907443620581,0.0814242201912787,Q21M-F164T
93,1000.0,3.0612225438222254,0.2094526127753742,0.7629616181522874,Q21M-F164T
94,5000.0,4.272315636674099,0.26863971435886036,0.9930119479008699,Q21M-F164T
95,500.0,2.1492793415490725,0.09148388968691457,0.5086379593088264,Q21M-F164T
96,0.0,-5.577607672838699,-5.782512380073415,-5.673826047933979,Q21M-Q294V
97,0.1,-5.576927062371659,-5.781967443907789,-5.673159302561077,Q21M-Q294V
98,5.0,-5.523969725624319,-5.735148692905909,-5.6185736047538875,Q21M-Q294V
99,10.0,-5.415638987618577,-5.65904009926202,-5.525367430330425,Q21M-Q294V
100,25.0,-4.920599171902838,-5.385289423451596,-5.127066014079366,Q21M-Q294V
101,50.0,-4.1241592641418485,-4.8565962151243145,-4.443505057211821,Q21M-Q294V
102,75.0,-3.5523382845375213,-4.375585060624935,-3.9020438391777272,Q21M-Q294V
103,100.0,-3.126734816850057,-3.965464048296681,-3.4830334554467424,Q21M-Q294V
104,250.0,-1.8556360962897553,-2.5279192685064373,-2.1433378454586265,Q21M-Q294V
105,1000.0,-0.2500885358059932,-0.9090534780999953,-0.6290522402414869,Q21M-Q294V
106,5000.0,0.9906722674739132,-0.37355638605994734,0.11664274629692173,Q21M-Q294V
107,500.0,-1.0236494359322066,-1.5443170502179395,-1.279123974257212,Q21M-Q294V
