# Date : 2018-09-20# Equipment : MACSQuant (Bjorkman lab)# User : gchure# Description :# A titration run of Q294K inducer mutants in O1 and O2 as well # as Y20I-Q294K in O2.date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
20180920,gchure,delta,O1,R0,0.0,17353.368783689868,0.0,
20180920,gchure,Q294K,O1,R260,0.0,4568.95529817998,260.0,
20180920,gchure,wt,O2,R260,0.0,3262.1868110730234,260.0,0.01637589437614718
20180920,gchure,Y20I-Q294K,O2,R260,0.0,3081.90132650507,260.0,
20180920,gchure,Q294K,O2,R260,0.0,8859.95486825062,260.0,
20180920,gchure,delta,O2,R0,0.0,22165.82944208243,0.0,
20180920,gchure,delta,O1,R0,0.1,17674.996355117324,0.0,
20180920,gchure,Q294K,O1,R260,0.1,4378.884950448673,260.0,
20180920,gchure,Q294K,O2,R260,0.1,8797.475629463259,260.0,
20180920,gchure,wt,O2,R260,0.1,3283.2983980246668,260.0,
20180920,gchure,Y20I-Q294K,O2,R260,0.1,3086.0093545577474,260.0,
20180920,gchure,delta,O2,R0,0.1,21561.168673155673,0.0,
20180920,gchure,Q294K,O1,R260,5.0,3935.14995475866,260.0,
20180920,gchure,delta,O1,R0,5.0,15312.844842909193,0.0,
20180920,gchure,delta,O2,R0,5.0,15709.225726587412,0.0,
20180920,gchure,Q294K,O2,R260,5.0,8094.021463127079,260.0,
20180920,gchure,Y20I-Q294K,O2,R260,5.0,3060.616626798036,260.0,
20180920,gchure,wt,O2,R260,5.0,3373.9123274522244,260.0,
20180920,gchure,delta,O1,R0,10.0,15718.984793216921,0.0,
20180920,gchure,Q294K,O1,R260,10.0,4235.665990811653,260.0,
20180920,gchure,Y20I-Q294K,O2,R260,10.0,3422.406775489139,260.0,
20180920,gchure,wt,O2,R260,10.0,4079.251266953466,260.0,
20180920,gchure,delta,O2,R0,10.0,19204.085315538785,0.0,
20180920,gchure,Q294K,O2,R260,10.0,8153.307181937503,260.0,
20180920,gchure,delta,O1,R0,25.0,16327.753910684747,0.0,
20180920,gchure,Q294K,O1,R260,25.0,4356.421670518991,260.0,
20180920,gchure,Y20I-Q294K,O2,R260,25.0,4831.819943151138,260.0,
20180920,gchure,wt,O2,R260,25.0,8279.339365442114,260.0,
20180920,gchure,delta,O2,R0,25.0,20034.944691278866,0.0,
20180920,gchure,Q294K,O2,R260,25.0,8475.167426215468,260.0,
20180920,gchure,Q294K,O1,R260,50.0,3782.673938823834,260.0,
20180920,gchure,delta,O1,R0,50.0,10993.431574794002,0.0,
20180920,gchure,delta,O2,R0,50.0,10891.323141749448,0.0,1.0
20180920,gchure,Q294K,O2,R260,50.0,6498.814886260466,260.0,
20180920,gchure,Y20I-Q294K,O2,R260,50.0,4890.327589001046,260.0,
20180920,gchure,wt,O2,R260,50.0,7402.725835059395,260.0,
20180920,gchure,delta,O1,R0,75.0,16942.880584181086,0.0,
20180920,gchure,Q294K,O1,R260,75.0,4619.291989466292,260.0,
20180920,gchure,Y20I-Q294K,O2,R260,75.0,7025.0141573338105,260.0,
20180920,gchure,wt,O2,R260,75.0,12972.430200291943,260.0,
20180920,gchure,Q294K,O2,R260,75.0,9647.895035576576,260.0,
20180920,gchure,delta,O2,R0,75.0,15343.594884212407,0.0,
20180920,gchure,Q294K,O1,R260,100.0,4650.046356869426,260.0,0.13605698526541932
20180920,gchure,delta,O1,R0,100.0,15404.038450645932,0.0,
20180920,gchure,delta,O2,R0,100.0,15853.621610909122,0.0,
