parameter,mean,median,mode,hpd_min,hpd_max,mutant,repressors,operator,IPTGuM,class
chain,2.5,2.5,3.0,1,4,F164T,260.0,O1,0.0,IND
chain_idx,500.5,500.5,338.0,1,951,F164T,260.0,O1,0.0,IND
warmup,0.0,0.0,0.0,0,0,F164T,260.0,O1,0.0,IND
divergent__,0.0,0.0,0.0,0,0,F164T,260.0,O1,0.0,IND
energy__,-70.0611671676607,-70.37943801975123,-71.6667966148298,-73.55953580740994,-66.1261284748123,F164T,260.0,O1,0.0,IND
treedepth__,2.71675,3.0,2.0,2,3,F164T,260.0,O1,0.0,IND
accept_stat__,0.9037308480148473,0.9612221589705354,0.9898133187095165,0.5743017537766885,1.0,F164T,260.0,O1,0.0,IND
stepsize__,0.48323759912359515,0.4595543106749961,0.45668222727915164,0.45668222727915164,0.5571595478653276,F164T,260.0,O1,0.0,IND
n_leapfrog__,6.553,7.0,7.0,3,7,F164T,260.0,O1,0.0,IND
fc_mu_wt,0.006821365922950477,0.006821912138538833,0.006748116286329209,0.005150625646982543,0.008697252378218834,F164T,260.0,O1,0.0,IND
log_fc_sigma_wt,-5.811065529321674,-5.830252402112869,-5.940856041456986,-6.251149158875415,-5.3418501431830405,F164T,260.0,O1,0.0,IND
fc_mu_mut,0.0065861529904344355,0.004691195344531884,0.0068549480841666455,2.4872871584591394e-06,0.018822321125372965,F164T,260.0,O1,0.0,IND
log_fc_sigma_mut,-3.4168024002220716,-3.435399880528828,-3.439127104486681,-3.944002167942562,-2.875852050600679,F164T,260.0,O1,0.0,IND
fc_sigma_wt,0.003082846148113943,0.002937335573239206,0.0026297774886256337,0.001744026215819654,0.00456217200376593,F164T,260.0,O1,0.0,IND
fc_sigma_mut,0.034173783863514585,0.032212526512250664,0.0320926866671632,0.0179901873037898,0.05421483718939089,F164T,260.0,O1,0.0,IND
lp__,72.01525465471362,72.3800774154304,74.16264816466274,69.00952931655023,74.11314543825614,F164T,260.0,O1,0.0,IND
bohr_wt,-4.990595166684847,-4.980770186692025,-4.991720893962502,-5.257110238324022,-4.731377819624535,F164T,260.0,O1,0.0,IND
bohr_mut,-5.569923193408338,-5.357365660063209,-4.975905988254359,-8.255648296859006,-3.524372098601465,F164T,260.0,O1,0.0,IND
delta_bohr,0.5793280267234979,0.37676831614331263,-0.015814905708142923,-1.6241679859653488,3.168838206725469,F164T,260.0,O1,0.0,IND
chain,2.5,2.5,3.0,1,4,F164T,260.0,O1,0.1,IND
chain_idx,500.5,500.5,914.0,1,951,F164T,260.0,O1,0.1,IND
warmup,0.0,0.0,0.0,0,0,F164T,260.0,O1,0.1,IND
divergent__,0.0,0.0,0.0,0,0,F164T,260.0,O1,0.1,IND
energy__,-66.00167768932852,-66.32623353029527,-69.73887741952302,-69.56955209601172,-61.66964099663468,F164T,260.0,O1,0.1,IND
treedepth__,2.7945,3.0,3.0,2,3,F164T,260.0,O1,0.1,IND
accept_stat__,0.9168530997018716,0.9659622531557761,0.9894216917302504,0.6589101531721094,1.0,F164T,260.0,O1,0.1,IND
stepsize__,0.44520930813381454,0.45085664158975003,0.3924927932144635,0.3924927932144635,0.48663115614136665,F164T,260.0,O1,0.1,IND
n_leapfrog__,7.1415,7.0,7.0,3,15,F164T,260.0,O1,0.1,IND
fc_mu_wt,0.004345234093056454,0.004326512268560512,0.00445855490616387,0.0013796256092369896,0.007121671939815166,F164T,260.0,O1,0.1,IND
log_fc_sigma_wt,-5.38064222363167,-5.397997696372441,-5.478862147556153,-5.811048080621544,-4.891992623889602,F164T,260.0,O1,0.1,IND
fc_mu_mut,0.007715255422144829,0.006041693175561802,0.009036673608096124,9.944481959012208e-07,0.020823006649262177,F164T,260.0,O1,0.1,IND
log_fc_sigma_mut,-3.4981471826516968,-3.517905396503429,-3.5584188753358643,-3.9786477568813385,-2.963989023021575,F164T,260.0,O1,0.1,IND
fc_sigma_wt,0.004743227764894008,0.004525633575916759,0.004174076479946708,0.002835334451312701,0.007230563660847821,F164T,260.0,O1,0.1,IND
fc_sigma_mut,0.03139518266292393,0.029661499418952398,0.028483825607995675,0.01755565018053524,0.049422620327913655,F164T,260.0,O1,0.1,IND
lp__,67.98918563613407,68.34557026752199,70.25696120384187,64.94565272608247,70.20792688320623,F164T,260.0,O1,0.1,IND
bohr_wt,-5.505120892205354,-5.438657645511135,-5.408462053619622,-6.289547231260359,-4.8211511347401865,F164T,260.0,O1,0.1,IND
bohr_mut,-5.309033029159151,-5.1030109651326,-4.697386383994467,-7.735726610551798,-3.4746651888372053,F164T,260.0,O1,0.1,IND
delta_bohr,-0.1960878630461773,-0.3508384617475735,-0.7110756696251546,-2.2589919022356293,2.4184475032942965,F164T,260.0,O1,0.1,IND
chain,2.5,2.5,3.0,1,4,F164T,260.0,O1,5.0,IND
chain_idx,500.5,500.5,475.0,1,951,F164T,260.0,O1,5.0,IND
warmup,0.0,0.0,0.0,0,0,F164T,260.0,O1,5.0,IND
divergent__,0.0,0.0,0.0,0,0,F164T,260.0,O1,5.0,IND
energy__,-59.95280647427023,-60.2684974387745,-63.35182167880917,-63.41159000029405,-55.85857394477739,F164T,260.0,O1,5.0,IND
treedepth__,2.85,3.0,3.0,2,4,F164T,260.0,O1,5.0,IND
accept_stat__,0.9187536037125094,0.9703734699777224,0.9941982089511311,0.6220461392982934,1.0,F164T,260.0,O1,5.0,IND
stepsize__,0.43979583336465194,0.4383705682011858,0.4494975227980163,0.3702150298429309,0.5122271672132357,F164T,260.0,O1,5.0,IND
