# Date : 2018-01-25# Equipment : MACSQuant (Bjorkman lab)# User : gchure# Description :# A titration run of the DNA mutant Q21A with all RBS modifications as well as# a WT control with R=260.# These were coupled with an O2-regulated YFP.# Comments:date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
20180131,sbarnes,Y20I,O2,R60,0.0,16675.93403537432,60.0,1.3579224352988437
20180131,sbarnes,wt,O2,R260,0.0,4498.545335571229,260.0,0.009131877502972218
20180131,sbarnes,Y20I,O2,R124,0.0,10361.519251476955,124.0,0.6585259350733772
20180131,sbarnes,Y20I,O2,R260,0.0,8971.493343149581,260.0,0.5045640417264146
20180131,sbarnes,delta,O2,R0,0.0,13444.475604840309,0.0,1.0
20180131,sbarnes,Y20I,O2,R1220,0.0,5530.149028474353,1220.0,0.1233942497304092
20180131,sbarnes,auto,O2,R0,0.0,4416.099309188599,0.0,0.0
20180131,sbarnes,auto,O2,R0,0.1,4921.109123277757,0.0,0.0
20180131,sbarnes,Y20I,O2,R260,0.1,8601.065479599536,260.0,0.3024824962885258
20180131,sbarnes,Y20I,O2,R1220,0.1,5416.741760059182,1220.0,0.04073966718604212
20180131,sbarnes,delta,O2,R0,0.1,17086.958061563488,0.0,1.0
20180131,sbarnes,Y20I,O2,R124,0.1,12721.212054348998,124.0,0.6411474423724302
20180131,sbarnes,wt,O2,R260,0.1,5005.104641864044,260.0,0.00690420528911507
20180131,sbarnes,Y20I,O2,R60,0.1,16151.63793929444,60.0,0.923119206311562
20180131,sbarnes,auto,O2,R0,5.0,4953.882756242748,0.0,0.0
20180131,sbarnes,Y20I,O2,R1220,5.0,6162.285282065836,1220.0,0.09377366453679237
20180131,sbarnes,delta,O2,R0,5.0,17840.256897555828,0.0,1.0
20180131,sbarnes,Y20I,O2,R260,5.0,10344.15838999448,260.0,0.41829265351459677
20180131,sbarnes,Y20I,O2,R124,5.0,14380.879889410571,124.0,0.7315476820547477
20180131,sbarnes,Y20I,O2,R60,5.0,16918.634183716917,60.0,0.9284808353589367
20180131,sbarnes,wt,O2,R260,5.0,5339.390976910622,260.0,0.029915957463314217
20180131,sbarnes,Y20I,O2,R260,10.0,12218.848744352455,260.0,0.5532776164954781
20180131,sbarnes,wt,O2,R260,10.0,5965.145956067618,260.0,0.08005168328761043
20180131,sbarnes,delta,O2,R0,10.0,18122.30588663958,0.0,1.0
20180131,sbarnes,Y20I,O2,R1220,10.0,7098.559604115472,1220.0,0.16581858802647217
20180131,sbarnes,Y20I,O2,R124,10.0,16044.382470513636,124.0,0.842760796120218
20180131,sbarnes,Y20I,O2,R60,10.0,17229.243902988183,60.0,0.9324208225217221
20180131,sbarnes,auto,O2,R0,10.0,4907.259226172949,0.0,0.0
20180131,sbarnes,wt,O2,R260,25.0,8044.187249686284,260.0,0.2487495088478286
20180131,sbarnes,Y20I,O2,R260,25.0,16117.882076803318,260.0,0.8674982168367578
20180131,sbarnes,delta,O2,R0,25.0,17846.821382043843,0.0,1.0
20180131,sbarnes,Y20I,O2,R1220,25.0,10213.491961897716,1220.0,0.4149998461044343
20180131,sbarnes,Y20I,O2,R60,25.0,17600.342071224066,60.0,0.9811104137100266
20180131,sbarnes,Y20I,O2,R124,25.0,17245.68057251204,124.0,0.953930002659013
20180131,sbarnes,auto,O2,R0,25.0,4798.398455459744,0.0,0.0
20180131,sbarnes,Y20I,O2,R124,50.0,18217.793245024975,124.0,1.0164219096446545
20180131,sbarnes,Y20I,O2,R60,50.0,17335.844577072992,60.0,0.9497853673020659
20180131,sbarnes,auto,O2,R0,50.0,4765.235267457364,0.0,0.0
20180131,sbarnes,delta,O2,R0,50.0,18000.445813312956,0.0,1.0
20180131,sbarnes,Y20I,O2,R260,50.0,16273.93162434868,260.0,0.8695514375851838
20180131,sbarnes,wt,O2,R260,50.0,10957.239355306865,260.0,0.4678432629685996
20180131,sbarnes,Y20I,O2,R1220,50.0,11233.78987290191,1220.0,0.4887383229026211
20180131,sbarnes,Y20I,O2,R1220,75.0,11959.515841639297,1220.0,0.5656544394694906
20180131,sbarnes,delta,O2,R0,75.0,17475.790884075086,0.0,1.0
20180131,sbarnes,wt,O2,R260,75.0,12182.969965906337,260.0,0.5832489767452761
20180131,sbarnes,Y20I,O2,R260,75.0,16174.398347172051,260.0,0.8975297521311094
20180131,sbarnes,Y20I,O2,R60,75.0,17375.747608162008,60.0,0.9921227001156587
20180131,sbarnes,Y20I,O2,R124,75.0,17056.440269106715,124.0,0.966980783859388
20180131,sbarnes,auto,O2,R0,75.0,4775.591909557621,0.0,0.0
20180131,sbarnes,Y20I,O2,R124,100.0,14319.655701859801,124.0,1.063899799178509
20180131,sbarnes,wt,O2,R260,100.0,11292.621809119422,260.0,0.7428703298248883
20180131,sbarnes,Y20I,O2,R60,100.0,13968.31701285048,60.0,1.02663887746681
20180131,sbarnes,delta,O2,R0,100.0,13717.135135003096,0.0,1.0
20180131,sbarnes,Y20I,O2,R260,100.0,13697.136810834765,260.0,0.9978790949744177
20180131,sbarnes,Y20I,O2,R1220,100.0,12301.143529506538,1220.0,0.8498282312557083
20180131,sbarnes,auto,O2,R0,100.0,4287.988649369912,0.0,0.0
