IPTGuM,class,delta_F,delta_F_max,delta_F_min,empirical_F,empirical_F_max,empirical_F_min,fc_mu_max,fc_mu_min,fc_mu_mode,mutant,operator,repressors
0.0,DBL,3.571505621445364,3.882395905624517,3.2886966473132597,0.5365614032622478,0.8193703773943526,0.2256711190830953,0.44382044159227063,0.3058973276380178,0.3689878494353692,Q21A-F164T,O2,260.0
0.1,DBL,3.9094528543521543,4.134199286576089,3.54011952192535,0.1941094947207588,0.563442827147563,-0.030636937503176195,0.5076586353382355,0.3627512307893208,0.45162442426464855,Q21A-F164T,O2,260.0
5.0,DBL,3.304430636987602,3.664868047958433,3.0891016730778587,0.06002764930196825,0.2753566132117122,-0.3004097616688626,0.5745426834005726,0.4315925298862687,0.4849975922753239,Q21A-F164T,O2,260.0
10.0,DBL,2.861048695874206,3.180922598588974,2.580880931172193,-0.3139296910271888,-0.03376192632517584,-0.6338035937419569,0.6533514145473102,0.5084396799200004,0.5778441631836436,Q21A-F164T,O2,260.0
25.0,DBL,2.50683448773898,2.880854352068307,2.0191159326977477,-1.3589968597207442,-0.8712783046795123,-1.7330167240500716,0.8542246284610905,0.7108121540248374,0.7955966127652951,Q21A-F164T,O2,260.0
50.0,DBL,1.9269191357184097,2.9545186117169004,1.500796699033883,-1.8262929127535097,-1.400170476068983,-2.8538923887520005,0.948659114660061,0.8060248002944462,0.86131951472229,Q21A-F164T,O2,260.0
75.0,DBL,2.3745456884266036,4.540922456992813,1.3892890700485059,-2.821694315915154,-1.8364376975370562,-4.988071084481363,0.999928074506586,0.8940174136132297,0.9438369475883769,Q21A-F164T,O2,260.0
100.0,DBL,3.593589855572107,5.148428499609998,1.3420857275675098,-4.388534484973604,-2.137030356969007,-5.943373129011495,0.9999903505337273,0.9186675499727993,0.9877334216079448,Q21A-F164T,O2,260.0
250.0,DBL,3.0368330063603235,4.413033484201233,0.6107566725894769,-4.679571542181874,-2.253495208411027,-6.055772020022784,0.9999901920897215,0.9266180960976768,0.990802390911979,Q21A-F164T,O2,260.0
500.0,DBL,2.610394164875185,3.9545673741750553,0.28426258305055097,-4.643640690037831,-2.317509108213197,-5.987813899337701,0.9999533036040453,0.9311031201518072,0.990469111069158,Q21A-F164T,O2,260.0
1000.0,DBL,0.8050374678963559,3.9527143582341067,-0.13376630824657054,-3.067080056988064,-2.1282762808451374,-6.214756947325815,0.9999807163317027,0.9255743175487754,0.9555142199447886,Q21A-F164T,O2,260.0
5000.0,DBL,0.36064109792819243,3.8010971786300294,-0.3314920135412902,-2.8269827877799147,-2.134849676310432,-6.267438868481752,0.9999563894285589,0.9214076502847054,0.9441166258271714,Q21A-F164T,O2,260.0
0.0,DBL,5.496381005811044,6.115437120539098,5.29596650451077,-1.3883139811034315,-1.187899479803158,-2.0073700958314857,0.8848224407571701,0.7707309868835844,0.8003229434207005,Q21A-Q294K,O2,260.0
0.1,DBL,7.310669872655291,6.637757382591776,5.50968600727688,-3.2071075235823785,-1.406123658203967,-2.5341950335188623,0.9327100079237021,0.8135289579940956,0.9611008715655948,Q21A-Q294K,O2,260.0
5.0,DBL,4.538884384061217,5.271290524556697,4.506172104648362,-1.174426097771646,-1.1417138183587912,-1.9068322382671266,0.8762877368418297,0.7646426202919449,0.7639441216771177,Q21A-Q294K,O2,260.0
10.0,DBL,4.602616427078663,4.570861381574767,3.769016619308114,-2.0554974222316456,-1.2218976144610962,-2.02374237672775,0.8868773635424811,0.7773665055007696,0.8865019251694525,Q21A-Q294K,O2,260.0
25.0,DBL,2.716627337775304,3.4261743141492618,2.5017910724624013,-1.5687897097570684,-1.3539534444441654,-2.278336686131026,0.9100581643720547,0.798728615936632,0.8276110033696644,Q21A-Q294K,O2,260.0
50.0,DBL,1.8573291157106984,2.420427717709895,1.4803174698387216,-1.7567028927457984,-1.3796912468738216,-2.319801494744995,0.9125139785024703,0.8017212955166102,0.8527962397233683,Q21A-Q294K,O2,260.0
75.0,DBL,1.4021435551947836,2.132117266174625,1.0472281643314798,-1.849292182683334,-1.4943767918200301,-2.5792658936631754,0.9321988193645732,0.8213483528934555,0.8640439757100131,Q21A-Q294K,O2,260.0
100.0,DBL,0.8251699272197253,1.8775849858868492,0.7162625975883408,-1.6201145566212225,-1.511207226989838,-2.6725296152883464,0.9424918794557364,0.8280898147022796,0.834810927961531,Q21A-Q294K,O2,260.0
