ep_RA.Q21M,ep_RA.Q21A,ep_RA.Y20I,sigma.1,sigma.2,sigma.3,logp
-14.973437457081976,-10.273136765950149,-9.822956422540075,0.014507611604436834,0.10104858111714046,0.11051794579378715,185.4712523409522
-15.220037612654162,-10.382060292061027,-9.696081276540548,0.014560727623435308,0.0984074950720703,0.09000875744437455,183.41515282662147
-14.952854924868172,-10.251812138246974,-9.50708902111636,0.010929782175435367,0.07129506657756947,0.11620523130164079,182.24404082095205
-15.569429981831805,-10.265949769320814,-9.637644005951707,0.012297021841527436,0.08244019214226195,0.09372059245365819,181.07743397552096
-15.156313094361444,-10.340977815416956,-9.597118366772715,0.01311578095190467,0.08177410021761117,0.13593445236322335,184.28415356210232
-15.330691180963052,-10.187044283969376,-9.532660415030167,0.014739753261190282,0.0743985340325824,0.12192582457655186,183.52475017163385
-15.038377923711232,-10.259672239756242,-9.517251531351924,0.015138260537334601,0.0704263247656811,0.10635310553094354,184.1298490920097
-15.211018217080733,-10.254472709654603,-9.650636769774449,0.012671290398310286,0.09246735662622844,0.11850301792403144,185.28488030869943
-15.205901638663907,-10.188610633027407,-9.681582293508269,0.012923879792264779,0.11981549414013139,0.12463830005973046,183.2835462943531
-14.942732522771921,-10.322638347822375,-9.686320634258303,0.018057942958676017,0.07132598445517885,0.11655566951276916,183.66368015657028
-15.010196443118051,-10.23992698987972,-9.74254664595394,0.015474807175936488,0.08328987440987907,0.0997708791814082,186.03434860548626
-15.218907595305451,-10.266143676263448,-9.664225683480913,0.012200719135912967,0.09850117385341656,0.1086256543425324,184.63672474654598
-14.99855953129446,-10.13301059369982,-9.620157941234252,0.01307215575786689,0.08067347683531936,0.09949009359627005,184.72836024146577
-14.890873548170351,-10.212206695363186,-9.65853133882797,0.01818204535792688,0.09452706701128331,0.12098052033602616,184.90005676537714
-14.724067329985111,-10.444012148921265,-9.684209259804613,0.014591066627991518,0.09636206144429617,0.12935480116471668,182.78357375831348
-15.210809284051772,-10.319759660777478,-9.726993245316173,0.01470310133915317,0.12661820725100575,0.11862197978198835,183.0684875115282
-15.136435683658359,-10.172368979797069,-9.782346826985915,0.012004797989924525,0.08076367628885664,0.10953024439898201,184.32830548925062
-14.902315087075108,-10.274071934608756,-9.622643901187976,0.01419886404259703,0.09371686266986935,0.10453230525460769,186.28244161798898
-14.949273525180141,-10.293670061845951,-9.452195806049899,0.018693404788075057,0.08206693137669223,0.11158129802911011,182.73405298263495
-15.26590572967149,-10.166211294512213,-9.723316963173962,0.015225831348375614,0.09653515964684974,0.10816436318701865,185.02740566236685
-15.07476112135731,-10.29388620841963,-9.735792464967671,0.015300485143116986,0.08447531201641566,0.0922673309556958,185.2179073659366
-15.115374330379794,-10.379404183650804,-9.553967786088625,0.01615043373185092,0.08065673697819858,0.08510676875544736,181.35742018005868
-15.191728836361893,-10.374162183776612,-9.535913820707545,0.015504169676967907,0.11524228790718302,0.08233761494988577,179.66084514535675
-15.24413275520475,-10.166091649651637,-9.665810240100672,0.0165588948620442,0.09895959230185992,0.11369585245738967,184.74647663403758
-15.112076134301109,-10.487999116371153,-9.710518948002,0.015048939485142167,0.08363270140459542,0.12485060427484826,181.42902312640456
-15.041284474117031,-10.317330665072593,-9.893922168120206,0.015376835402501746,0.09680655013014064,0.1259101382802508,184.34472509294145
-14.862098726829343,-10.176695838462386,-9.5782790040157,0.01623234393279459,0.08896894288926802,0.12201593875290782,185.32587042823207
-15.068495356526501,-10.41846268858768,-9.781431993900927,0.011861557439206886,0.13619943365403028,0.12321622925329717,180.45759793656663
