,date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
27,20180215,sbarnes,auto,O2,R0,0.0,4318.585440991282,0.0,0.0
49,20180215,sbarnes,delta,O2,R0,0.0,21147.212964037873,0.0,1.0
50,20180215,sbarnes,Q21M,O2,R124,0.0,4775.64185983178,124.0,0.027159458976352344
52,20180215,sbarnes,Q21M,O2,R1220,0.0,4250.9578539503755,1220.0,-0.004018603831375504
53,20180215,sbarnes,Q21M,O2,R60,0.0,4532.09990725432,60.0,0.012687574549417824
55,20180215,sbarnes,Q21M,O2,R260,0.0,4461.737592579286,260.0,0.00850646622203498
56,20180215,sbarnes,wt,O2,R260,0.0,4516.001443538296,260.0,0.011730962746466157
9,20180215,sbarnes,delta,O2,R0,0.1,23408.212055409953,0.0,1.0
11,20180215,sbarnes,Q21M,O2,R124,0.1,4659.091919185208,124.0,0.01585401337497564
14,20180215,sbarnes,Q21M,O2,R1220,0.1,4242.481928780782,1220.0,-0.006013948804873226
20,20180215,sbarnes,Q21M,O2,R260,0.1,4418.074639798232,260.0,0.003202956339094083
31,20180215,sbarnes,auto,O2,R0,0.1,4357.054614305166,0.0,0.0
43,20180215,sbarnes,wt,O2,R260,0.1,4607.160851368619,260.0,0.013128138688509462
70,20180215,sbarnes,Q21M,O2,R60,0.1,4638.458204186733,60.0,0.014770944534551522
17,20180215,sbarnes,Q21M,O2,R260,5.0,4575.266828874926,260.0,0.01392883093293115
18,20180215,sbarnes,Q21M,O2,R60,5.0,5037.709342148661,60.0,0.03813808286562895
21,20180215,sbarnes,Q21M,O2,R1220,5.0,4294.633404260917,1220.0,-0.0007625633100431654
24,20180215,sbarnes,wt,O2,R260,5.0,4994.188430379816,260.0,0.03585972677355182
38,20180215,sbarnes,Q21M,O2,R124,5.0,4873.733564390852,124.0,0.02955381390104729
40,20180215,sbarnes,delta,O2,R0,5.0,23411.091701028643,0.0,1.0
60,20180215,sbarnes,auto,O2,R0,5.0,4309.199806172345,0.0,0.0
1,20180215,sbarnes,wt,O2,R260,10.0,5458.106754703485,260.0,0.05864037530003772
4,20180215,sbarnes,Q21M,O2,R1220,10.0,4464.891421766736,1220.0,0.007611921141393944
26,20180215,sbarnes,Q21M,O2,R124,10.0,5116.8836367294025,124.0,0.041109344861828774
34,20180215,sbarnes,delta,O2,R0,10.0,23780.684392521467,0.0,1.0
71,20180215,sbarnes,Q21M,O2,R260,10.0,4669.851878055627,260.0,0.018142180694624605
75,20180215,sbarnes,Q21M,O2,R60,10.0,5664.670990755508,60.0,0.06925303229459819
78,20180215,sbarnes,auto,O2,R0,10.0,4316.733361418023,0.0,0.0
0,20180215,sbarnes,wt,O2,R260,25.0,7079.259053323635,260.0,0.15231655646698508
2,20180215,sbarnes,Q21M,O2,R1220,25.0,4840.208768229951,1220.0,0.0292513960588354
28,20180215,sbarnes,Q21M,O2,R124,25.0,6563.69488982121,124.0,0.12397954818069522
36,20180215,sbarnes,delta,O2,R0,25.0,22502.030612853512,0.0,1.0
