parameter,mean,median,mode,hpd_min,hpd_max,repressors,mutant,operator
ep_RA,-9.685251229065003,-9.685983121664494,-9.701897529019792,-9.87006047006973,-9.50982138187704,60.0,Q21A,O2
ep_AI,5.567396559461174,5.572033850546271,5.558292196131077,4.588159692394479,6.574501424511748,60.0,Q21A,O2
sigma,0.06401565606262512,0.06372656798820192,0.06341969554660866,0.05571026884900779,0.07244746322896964,60.0,Q21A,O2
lp__,278.788423656444,279.1164068671653,280.3084694540374,276.2656092001702,280.3084694540374,60.0,Q21A,O2
ep_RA,-10.025628724521683,-10.024670327553682,-10.026270817567095,-10.116856280892296,-9.945258429865296,124.0,Q21A,O2
ep_AI,6.057075179090968,6.058962516024543,6.051749495531442,5.7477431789763545,6.390785410364142,124.0,Q21A,O2
sigma,0.052643332540513704,0.052466315335950045,0.051697535860878246,0.046497853389415554,0.05902954909838049,124.0,Q21A,O2
lp__,301.65129313111737,301.9507768555419,303.1718556541808,299.30815157987183,303.1718556541808,124.0,Q21A,O2
ep_RA,-10.499110476257592,-10.497983456587807,-10.498582030146236,-10.602824721734725,-10.399989531903586,260.0,Q21A,O2
ep_AI,5.744733572085905,5.744839105772174,5.751238838960604,5.536523817172492,5.973762089598186,260.0,Q21A,O2
sigma,0.06203403239320197,0.06183128642115568,0.06144864739678933,0.054800330885274084,0.07001940498015244,260.0,Q21A,O2
lp__,281.92766938603717,282.2321677859891,283.41730399083536,279.5088393712583,283.4029294230335,260.0,Q21A,O2
ep_RA,-10.08686386805566,-10.083095789668631,-10.069837033001894,-10.268394967147135,-9.912110597202767,1220.0,Q21A,O2
ep_AI,5.901868243913504,5.905714352689493,5.9214534223536495,5.657496897262504,6.12752068620044,1220.0,Q21A,O2
sigma,0.06438418807619625,0.06420732911457418,0.06372430863536338,0.05662848180747487,0.07276580851678262,1220.0,Q21A,O2
lp__,273.8744274147152,274.19393739476027,275.40808225021726,271.45816489531796,275.40808225021726,1220.0,Q21A,O2
ep_RA,-20.19858921909371,-20.191958721647957,-20.191735806509918,-22.220838392098873,-18.45564142084676,60.0,Q21M,O2
