,date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,run_no,fold_change
1,20180607,gchure,Q294K,O3,R260,0.0,32809.85844705247,260.0,r1,1.0422497956838306
19,20180607,gchure,Q294K,O3,R260,0.0,31758.01452051193,260.0,r6,1.0036213419613877
23,20180607,gchure,auto,O3,R0,0.0,4429.6357903213275,0.0,r1,0.0
27,20180607,gchure,Q294K,O3,R260,0.0,31501.696009425363,260.0,r3,0.9942081700126963
43,20180607,gchure,Q294K,O3,R260,0.0,30776.160785678825,260.0,r4,0.9675632437956746
46,20180607,gchure,Q294K,O3,R260,0.0,33598.338112851154,260.0,r5,1.0712063257477207
72,20180607,gchure,Q294K,O3,R260,0.0,33454.0030643487,260.0,r2,1.0659056916888816
88,20180607,gchure,delta,O3,R0,0.0,31659.406210291138,0.0,r1,1.0
10,20180607,gchure,Q294K,O3,R260,0.1,32703.739472462417,260.0,r6,1.109440014534157
21,20180607,gchure,Q294K,O3,R260,0.1,31439.39764781266,260.0,r3,1.0602262708618027
25,20180607,gchure,auto,O3,R0,0.1,4201.3068663541,0.0,r1,0.0
29,20180607,gchure,delta,O3,R0,0.1,29892.134881130736,0.0,r1,1.0
40,20180607,gchure,Q294K,O3,R260,0.1,32805.4982721781,260.0,r2,1.1134009144964765
50,20180607,gchure,Q294K,O3,R260,0.1,31435.32110977671,260.0,r4,1.0600675940751452
60,20180607,gchure,Q294K,O3,R260,0.1,30877.049713235596,260.0,r1,1.0383372163613553
81,20180607,gchure,Q294K,O3,R260,0.1,33330.787907849524,260.0,r5,1.133847497042173
5,20180607,gchure,delta,O3,R0,5.0,28998.984888324525,0.0,r1,1.0
31,20180607,gchure,Q294K,O3,R260,5.0,30902.296691590083,260.0,r2,1.0764720652811166
38,20180607,gchure,Q294K,O3,R260,5.0,32189.09950656496,260.0,r5,1.1281737721175102
61,20180607,gchure,Q294K,O3,R260,5.0,30903.39279816314,260.0,r4,1.0765161051138261
63,20180607,gchure,Q294K,O3,R260,5.0,28678.25696194628,260.0,r3,0.9871136579506347
80,20180607,gchure,auto,O3,R0,5.0,4110.003581636247,0.0,r1,0.0
83,20180607,gchure,Q294K,O3,R260,5.0,31772.33217998138,260.0,r6,1.1114287184952638
85,20180607,gchure,Q294K,O3,R260,5.0,28667.75766163633,260.0,r1,0.9866918126295837
2,20180607,gchure,Q294K,O3,R260,10.0,31558.603638139946,260.0,r6,1.0748434435082115
18,20180607,gchure,Q294K,O3,R260,10.0,29966.306194851117,260.0,r1,1.012600173549551
45,20180607,gchure,delta,O3,R0,10.0,29643.970556937646,0.0,r1,1.0
51,20180607,gchure,auto,O3,R0,10.0,4062.1294302364618,0.0,r1,0.0
56,20180607,gchure,Q294K,O3,R260,10.0,30550.306675884793,260.0,r2,1.0354288854527032
69,20180607,gchure,Q294K,O3,R260,10.0,30422.93829499343,260.0,r5,1.0304500264151328
78,20180607,gchure,Q294K,O3,R260,10.0,30727.062507843486,260.0,r4,1.042338311208389
92,20180607,gchure,Q294K,O3,R260,10.0,29652.738378771854,260.0,r3,1.0003427361537733
6,20180607,gchure,Q294K,O3,R260,25.0,27996.081089387033,260.0,r6,0.8998521709494322
15,20180607,gchure,Q294K,O3,R260,25.0,29033.012625139414,260.0,r1,0.9388216009771353
42,20180607,gchure,delta,O3,R0,25.0,30660.89918156463,0.0,r1,1.0
48,20180607,gchure,auto,O3,R0,25.0,4052.0538631898976,0.0,r1,0.0
59,20180607,gchure,Q294K,O3,R260,25.0,28658.818617005465,260.0,r2,0.9247588333652108
62,20180607,gchure,Q294K,O3,R260,25.0,28603.693938282373,260.0,r5,0.9226871659154013
74,20180607,gchure,Q294K,O3,R260,25.0,29197.745871623003,260.0,r4,0.9450125214967052
94,20180607,gchure,Q294K,O3,R260,25.0,28753.32483433981,260.0,r3,0.9283105176342417
3,20180607,gchure,Q294K,O3,R260,50.0,29221.083292768682,260.0,r2,0.9731363025246407
8,20180607,gchure,auto,O3,R0,50.0,4047.491694387916,0.0,r1,0.0
17,20180607,gchure,Q294K,O3,R260,50.0,29466.58276790351,260.0,r5,0.9826265832647084
33,20180607,gchure,Q294K,O3,R260,50.0,29523.93672291948,260.0,r4,0.9848437168628794
36,20180607,gchure,Q294K,O3,R260,50.0,28760.61310993322,260.0,r3,0.9553358925435648
57,20180607,gchure,Q294K,O3,R260,50.0,29724.264848430736,260.0,r6,0.9925878073550863
68,20180607,gchure,Q294K,O3,R260,50.0,29608.957506855935,260.0,r1,0.9881303679152066
87,20180607,gchure,delta,O3,R0,50.0,29916.007269310012,0.0,r1,1.0
0,20180607,gchure,Q294K,O3,R260,75.0,28147.313749747853,260.0,r1,0.9650177397107544
16,20180607,gchure,Q294K,O3,R260,75.0,28541.385468697248,260.0,r6,0.9807960199339092
26,20180607,gchure,delta,O3,R0,75.0,29021.016032249325,0.0,r1,1.0
55,20180607,gchure,Q294K,O3,R260,75.0,28956.883759262284,260.0,r5,0.997432200977946
66,20180607,gchure,Q294K,O3,R260,75.0,28327.289110736234,260.0,r2,0.9722237926762116
70,20180607,gchure,auto,O3,R0,75.0,4045.434829737099,0.0,r1,0.0
76,20180607,gchure,Q294K,O3,R260,75.0,28705.835018927188,260.0,r3,0.987380433281351
91,20180607,gchure,Q294K,O3,R260,75.0,29225.548153075175,260.0,r4,1.0081892837314743
11,20180607,gchure,Q294K,O3,R260,100.0,28382.821871067285,260.0,r5,0.9804993022357744
39,20180607,gchure,Q294K,O3,R260,100.0,27622.575881759043,260.0,r1,0.949871081608976
