# Date : 2017-07-11
# Equipment : MACSQuant (Bjorkman lab)
# User : mrazomej
# Description :
# IPTG titration with all the O1+11 YFP DNA mutant strains 
# The strains were grown in deep 96-well plates in 1 mL of LB + Kan + Spec and then
# diluted next morning 1:1000 into 0.5 mL of M9 + 0.5% glucose also in deep 96-well plates with the following
# IPTG concentrations:
# 0uM, 0.1uM, 5uM, 10uM, 25uM, 50uM, 75uM, 100uM, 250uM, 500uM, 1000uM, 5000uM
# Comments :
# Everything ran smoothly with this experiment except that at the beginning the flow-rate was extremely low
# then suddenly the good flow rates (order 2-4K / sec) appeared.
date,username,operator,class,strain,repressors,IPTG_uM,mean_YFP,mean_YFP_bgcorr,fold_change
20170711,mrazomej,O1,NA,auto,0,0.1,3138.237061365101,0.0,0.0
20170711,mrazomej,O1,NA,auto,0,0.0,3102.051654680423,0.0,0.0
20170711,mrazomej,O1,NA,auto,0,1000.0,3036.7286592556698,0.0,0.0
20170711,mrazomej,O1,NA,auto,0,100.0,3084.3558581781976,0.0,0.0
20170711,mrazomej,O1,NA,auto,0,10.0,3065.0247850524393,0.0,0.0
20170711,mrazomej,O1,NA,auto,0,250.0,3070.6474467868898,0.0,0.0
20170711,mrazomej,O1,NA,auto,0,25.0,3078.6395445445005,0.0,0.0
20170711,mrazomej,O1,NA,auto,0,5000.0,2923.9106100446334,0.0,0.0
20170711,mrazomej,O1,NA,auto,0,500.0,3045.1467932944383,0.0,0.0
20170711,mrazomej,O1,NA,auto,0,50.0,3116.210489515676,0.0,0.0
20170711,mrazomej,O1,NA,auto,0,5.0,3036.8878799514314,0.0,0.0
20170711,mrazomej,O1,NA,auto,0,75.0,3133.271704091564,0.0,0.0
20170711,mrazomej,O1,NA,delta,0,0.1,15876.77451469083,12738.537453325727,1.0
20170711,mrazomej,O1,NA,delta,0,0.0,19725.008235280697,16622.956580600272,1.0
20170711,mrazomej,O1,NA,delta,0,1000.0,14551.519709173617,11514.791049917947,1.0
20170711,mrazomej,O1,NA,delta,0,100.0,15819.79356307904,12735.437704900842,1.0
20170711,mrazomej,O1,NA,delta,0,10.0,17362.927163671513,14297.902378619074,1.0
20170711,mrazomej,O1,NA,delta,0,250.0,15532.866503516067,12462.219056729176,1.0
20170711,mrazomej,O1,NA,delta,0,25.0,15853.853436067091,12775.213891522591,1.0
20170711,mrazomej,O1,NA,delta,0,5000.0,13103.627191801696,10179.716581757062,1.0
20170711,mrazomej,O1,NA,delta,0,500.0,15067.78635331112,12022.639560016682,1.0
20170711,mrazomej,O1,NA,delta,0,50.0,15715.140998192315,12598.93050867664,1.0
20170711,mrazomej,O1,NA,delta,0,5.0,15062.975998965232,12026.0881190138,1.0
20170711,mrazomej,O1,NA,delta,0,75.0,16384.38757319514,13251.115869103578,1.0
20170711,mrazomej,O1,dna,Q21A,260,0.1,3912.6264404054355,774.3893790403345,0.06079107447599174
20170711,mrazomej,O1,dna,Q21A,260,0.0,4096.475591875921,994.4239371954982,0.059822326574325235
20170711,mrazomej,O1,dna,Q21A,260,1000.0,14368.886327521566,11332.157668265896,0.9841392361476371
20170711,mrazomej,O1,dna,Q21A,260,100.0,12766.466463742627,9682.110605564429,0.7602495359730405
20170711,mrazomej,O1,dna,Q21A,260,10.0,4722.1301920400165,1657.1054069875772,0.11589849777304358
20170711,mrazomej,O1,dna,Q21A,260,250.0,14428.835242607167,11358.187795820277,0.911409737231929
20170711,mrazomej,O1,dna,Q21A,260,25.0,6707.4572894832945,3628.817744938794,0.284051427690523
20170711,mrazomej,O1,dna,Q21A,260,5000.0,12533.249132294957,9609.338522250324,0.9439691611327465
20170711,mrazomej,O1,dna,Q21A,260,500.0,14115.903431181829,11070.75663788739,0.9208257955852774
