,Unnamed: 0,date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
0,21,20180920,gchure,delta,O1,R0,0.0,17353.368783689868,0.0,1.0
1,64,20180920,gchure,Q294K,O1,R260,0.0,4568.95529817998,260.0,0.11255710155153094
2,0,20180920,gchure,wt,O2,R260,0.0,3262.186811073024,260.0,0.01637589437614718
4,44,20180920,gchure,Q294K,O2,R260,0.0,8859.95486825062,260.0,0.30764777811875016
5,72,20180920,gchure,delta,O2,R0,0.0,22165.82944208243,0.0,1.0
6,80,20180920,gchure,delta,O1,R0,0.1,17674.996355117324,0.0,1.0
7,83,20180920,gchure,Q294K,O1,R260,0.1,4378.884950448673,260.0,0.0998680815630572
8,25,20180920,gchure,Q294K,O2,R260,0.1,8797.475629463259,260.0,0.3158934768978324
9,39,20180920,gchure,wt,O2,R260,0.1,3283.2983980246668,260.0,0.02034542504047548
11,76,20180920,gchure,delta,O2,R0,0.1,21561.168673155677,0.0,1.0
12,30,20180920,gchure,Q294K,O1,R260,5.0,3935.1499547586604,260.0,0.08912784841861315
13,74,20180920,gchure,delta,O1,R0,5.0,15312.844842909191,0.0,1.0
14,16,20180920,gchure,delta,O2,R0,5.0,15709.225726587412,0.0,1.0
15,38,20180920,gchure,Q294K,O2,R260,5.0,8094.021463127079,260.0,0.4090955894977623
17,79,20180920,gchure,wt,O2,R260,5.0,3373.912327452225,260.0,0.0428370874500705
18,18,20180920,gchure,delta,O1,R0,10.0,15718.98479321692,0.0,1.0
19,70,20180920,gchure,Q294K,O1,R260,10.0,4235.665990811653,260.0,0.10955872570455456
21,28,20180920,gchure,wt,O2,R260,10.0,4079.2512669534663,260.0,0.07670190064350857
22,48,20180920,gchure,delta,O2,R0,10.0,19204.085315538785,0.0,1.0
23,63,20180920,gchure,Q294K,O2,R260,10.0,8153.307181937503,260.0,0.32540334562423323
24,13,20180920,gchure,delta,O1,R0,25.0,16327.753910684749,0.0,1.0
25,66,20180920,gchure,Q294K,O1,R260,25.0,4356.421670518991,260.0,0.1092669056503047
27,31,20180920,gchure,wt,O2,R260,25.0,8279.339365442114,260.0,0.31442425414995195
28,51,20180920,gchure,delta,O2,R0,25.0,20034.944691278866,0.0,1.0
29,59,20180920,gchure,Q294K,O2,R260,25.0,8475.167426215468,260.0,0.3258447608020418
30,29,20180920,gchure,Q294K,O1,R260,50.0,3782.6739388238343,260.0,0.11891779420241586
31,62,20180920,gchure,delta,O1,R0,50.0,10993.431574794002,0.0,1.0
32,5,20180920,gchure,delta,O2,R0,50.0,10891.323141749448,0.0,1.0
33,17,20180920,gchure,Q294K,O2,R260,50.0,6498.814886260467,260.0,0.4564985160417065
35,68,20180920,gchure,wt,O2,R260,50.0,7402.725835059395,260.0,0.5683428003238034
36,10,20180920,gchure,delta,O1,R0,75.0,16942.880584181086,0.0,1.0
37,82,20180920,gchure,Q294K,O1,R260,75.0,4619.291989466292,260.0,0.11885011870655625
39,36,20180920,gchure,wt,O2,R260,75.0,12972.430200291943,260.0,0.8085688947748119
40,42,20180920,gchure,Q294K,O2,R260,75.0,9647.895035576576,260.0,0.5401693840798335
41,55,20180920,gchure,delta,O2,R0,75.0,15343.594884212407,0.0,1.0
42,7,20180920,gchure,Q294K,O1,R260,100.0,4650.046356869426,260.0,0.13605698526541932
43,11,20180920,gchure,delta,O1,R0,100.0,15404.038450645932,0.0,1.0
44,15,20180920,gchure,delta,O2,R0,100.0,15853.621610909122,0.0,1.0
46,43,20180920,gchure,wt,O2,R260,100.0,9572.9239295042,260.0,0.5130167818852607
47,65,20180920,gchure,Q294K,O2,R260,100.0,9448.948563263588,260.0,0.5034041678284571
48,23,20180920,gchure,Q294K,O1,R260,250.0,4743.862701468645,260.0,0.23919647059590976
49,27,20180920,gchure,delta,O1,R0,250.0,10868.76204757188,0.0,1.0
50,34,20180920,gchure,delta,O2,R0,250.0,13096.792815621035,0.0,1.0
52,73,20180920,gchure,wt,O2,R260,250.0,10421.786952669405,260.0,0.7397499080867239
53,81,20180920,gchure,Q294K,O2,R260,250.0,9440.537681849073,260.0,0.6442846171661843
54,41,20180920,gchure,Q294K,O1,R260,500.0,5064.130994536889,260.0,0.29762659299843913
55,46,20180920,gchure,delta,O1,R0,500.0,10358.65952857992,0.0,1.0
56,6,20180920,gchure,wt,O2,R260,500.0,10564.963564157368,260.0,0.8370814462097557
57,19,20180920,gchure,Q294K,O2,R260,500.0,8865.249165782076,260.0,0.6533606760957263
58,53,20180920,gchure,delta,O2,R0,500.0,12072.223801896878,0.0,1.0
60,35,20180920,gchure,delta,O1,R0,1000.0,9161.118727840463,0.0,1.0
61,54,20180920,gchure,Q294K,O1,R260,1000.0,5907.987627976607,260.0,0.49586937489944205
62,3,20180920,gchure,wt,O2,R260,1000.0,9593.947270964827,260.0,0.8225537927225921
63,9,20180920,gchure,delta,O2,R0,1000.0,11079.389054956453,0.0,1.0
64,12,20180920,gchure,Q294K,O2,R260,1000.0,8823.879442726466,260.0,0.7305639100224711
66,37,20180920,gchure,Q294K,O1,R260,5000.0,7832.414215952141,260.0,0.7912231892613945
67,56,20180920,gchure,delta,O1,R0,5000.0,9179.786686706237,0.0,1.0
69,69,20180920,gchure,wt,O2,R260,5000.0,10005.056453454521,260.0,0.9063368009563666
70,75,20180920,gchure,Q294K,O2,R260,5000.0,9965.179812768925,260.0,0.9013715495228826
71,77,20180920,gchure,delta,O2,R0,5000.0,10757.278930757302,0.0,1.0
