# Date : 2017-06-27
# Equipment : MACSQuant (Bjorkman lab)
# User : sbarnes 
# Description :
# LacI titration for the 3 DNA binding domain mutants.
# The strains were grown in deep 96-well plates in 1 mL of LB + Kan + Spec and then
# diluted next morning 1:1000 into 0.5 mL of M9 + 0.5% glucose also in deep 96-well plates 
# Comments :
# The data was generated by Stephanie and Jonathan, and processed by Manuel.
date,username,operator,class,strain,repressors,IPTG_uM,mean_YFP,mean_YFP_bgcorr,fold_change
20170627,sbarnes,O1,NA,auto,0,0.0,3256.755707397387,-15.670716192688815,-0.0018372318578104277
20170627,sbarnes,O1,NA,delta,0,0.0,12170.69809112906,8898.271667538984,1.0432317187061175
20170627,sbarnes,O1,NA,auto,0,0.0,3290.900957481729,18.47453389165321,0.0021659509244242076
20170627,sbarnes,O1,NA,delta,0,0.0,12323.955524380855,9051.52910079078,1.0611995917346535
20170627,sbarnes,O1,NA,auto,0,0.0,3269.6226058911116,-2.8038176989643944,-0.0003287190666137798
20170627,sbarnes,O1,NA,delta,0,0.0,10911.20250156783,7638.7760779777545,0.8955686895592296
20170627,sbarnes,O1,dna,Q21A,1220,0.0,3629.1580817824083,356.73165819233236,0.04182315339398911
20170627,sbarnes,O1,dna,Q21M,1220,0.0,3277.0128681946726,4.586444604596636,0.0005377139141591381
20170627,sbarnes,O1,dna,Y20I,1220,0.0,4094.8256377560015,822.3992141659255,0.09641793122440877
20170627,sbarnes,O1,dna,Q21A,124,0.0,4580.584098160396,1308.15767457032,0.15336816296125003
20170627,sbarnes,O1,dna,Q21M,124,0.0,3337.588444750956,65.16202116088016,0.007639583266267094
20170627,sbarnes,O1,dna,Y20I,124,0.0,5362.128675526355,2089.7022519362795,0.2449963041502046
20170627,sbarnes,O1,dna,Q21A,260,0.0,3927.953982974583,655.5275593845072,0.07685392939065713
20170627,sbarnes,O1,dna,Q21M,260,0.0,3321.6260660858534,49.199642495777425,0.005768156954325935
20170627,sbarnes,O1,dna,Y20I,260,0.0,4480.182889111689,1207.7564655216133,0.1415971438477121
20170627,sbarnes,O1,dna,Q21A,60,0.0,6838.888590518178,3566.462166928102,0.41813136248443805
20170627,sbarnes,O1,dna,Q21M,60,0.0,3408.3698442589257,135.94342066884974,0.015937981406941748
20170627,sbarnes,O1,dna,Y20I,60,0.0,6449.8933326719925,3177.4669090819166,0.37252563065543426
