,parameter,mode,hpd_min,hpd_max
0,ep_R_wt,-14.863759312666573,-15.228834968568194,-12.884934521231763
1,ep_R_Q21M,-15.151332675098745,-18.401208485464824,-14.242617903477376
2,ep_R_Q21A,-10.372973280526603,-10.366346069975299,-10.179563061622034
3,ep_R_Y20I,-9.921142968404759,-9.908511541832363,-9.644082134449812
4,ka_wt,149.8893524589741,164.81131719353462,239.0050363877272
5,ka_Q21M,147.69138390856838,141.17697090765355,177.68365363345956
6,ka_Q21A,115.97703948730863,83.10751775481418,186.22513801051232
7,ka_Y20I,39.743788897334404,29.290313565188182,72.28063086891697
8,ka_tilde_wt,5.009897371624921,5.111828594264255,5.481434335343706
9,ka_tilde_Q21M,4.995124852754994,4.950014216202754,5.180004742372615
10,ka_tilde_Q21A,4.753392236060321,4.465970936317415,5.257022107050809
11,ka_tilde_Y20I,3.682453574736279,3.422403260897383,4.3016379752054865
12,ki_wt,0.4051275873118103,0.31459147797377107,1.2111768424035028
13,ki_Q21M,0.6593648161752059,0.061861158950177283,0.9983427797422894
14,ki_Q21A,0.8402782446640651,0.8128702538475134,1.091591997391551
15,ki_Y20I,0.40676642242056377,0.39441729276783705,0.6143448729394918
16,ki_tilde_wt,-0.9035532310877235,-1.0078342947270322,0.26621863552498715
17,ki_tilde_Q21M,-0.4164783071001706,-2.033507254915122,0.14112690868196248
18,ki_tilde_Q21A,-0.17402219834614635,-0.20014374459503143,0.09359131768882147
19,ki_tilde_Y20I,-0.8995161589701508,-0.9104974226602993,-0.4720080740255204
20,sigma_wt,0.07812898673600212,0.07718322315074481,0.09113145205217715
21,sigma_Q21M,0.06833916171882085,0.06252495300441634,0.07332761360044114
22,sigma_Q21A,0.0717969337460156,0.06691947485731246,0.0799425198748507
23,sigma_Y20I,0.09602266681716873,0.08738723017390222,0.10313922572177497
