,IPTG_uM,class,date,fold_change,mean_YFP,mean_YFP_bgcorr,operator,pseudo_fold_change,repressors,strain,username
0,0.1,,20170303,0.0,4146.382542196838,0.0,O2,,260,auto,mrazomej
1,0.0,,20170303,0.0,4316.221826508704,0.0,O2,,260,auto,mrazomej
2,1000.0,,20170303,0.0,4180.005468936722,0.0,O2,,260,auto,mrazomej
3,100.0,,20170303,0.0,4023.050780148685,0.0,O2,,260,auto,mrazomej
4,10.0,,20170303,0.0,3957.727359494361,0.0,O2,,260,auto,mrazomej
5,250.0,,20170303,0.0,4002.43375681412,0.0,O2,,260,auto,mrazomej
6,25.0,,20170303,0.0,4082.2582288267763,0.0,O2,,260,auto,mrazomej
7,5000.0,,20170303,0.0,3887.523987963537,0.0,O2,,260,auto,mrazomej
8,500.0,,20170303,0.0,3983.031357619892,0.0,O2,,260,auto,mrazomej
9,50.0,,20170303,0.0,4087.2110783890735,0.0,O2,,260,auto,mrazomej
10,5.0,,20170303,0.0,4612.5774358661765,0.0,O2,,260,auto,mrazomej
11,75.0,,20170303,0.0,4078.5688005968486,0.0,O2,,260,auto,mrazomej
12,0.1,,20170303,1.0,31750.34134719716,27603.958805000322,O2,,260,delta,mrazomej
13,0.0,,20170303,1.0,23033.224265664525,18717.002439155818,O2,,260,delta,mrazomej
14,1000.0,,20170303,1.0,20794.89855759073,16614.893088654015,O2,,260,delta,mrazomej
15,100.0,,20170303,1.0,21259.675248028798,17236.62446788011,O2,,260,delta,mrazomej
16,10.0,,20170303,1.0,22330.302378401826,18372.575018907457,O2,,260,delta,mrazomej
17,250.0,,20170303,1.0,21451.790950736035,17449.35719392192,O2,,260,delta,mrazomej
18,25.0,,20170303,1.0,21111.665489469116,17029.407260642336,O2,,260,delta,mrazomej
19,5000.0,,20170303,1.0,18658.301139251405,14770.777151287868,O2,,260,delta,mrazomej
20,500.0,,20170303,1.0,21093.196079539422,17110.164721919533,O2,,260,delta,mrazomej
21,50.0,,20170303,1.0,22073.16213515604,17985.951056766968,O2,,260,delta,mrazomej
22,5.0,,20170303,1.0,27168.64618937709,22556.068753510906,O2,,260,delta,mrazomej
23,75.0,,20170303,1.0,23086.823867950592,19008.255067353744,O2,,260,delta,mrazomej
24,0.1,dna,20170303,0.21958512809406835,10207.801372296219,6061.418830099381,O2,,260,Q21A,mrazomej
25,0.0,dna,20170303,0.2789052130593919,9536.491379634615,5220.269553125911,O2,,260,Q21A,mrazomej
26,1000.0,dna,20170303,0.9706680803631996,20307.551848740306,16127.546379803583,O2,,260,Q21A,mrazomej
27,100.0,dna,20170303,0.9135589731970984,19769.72373040922,15746.672950260534,O2,,260,Q21A,mrazomej
28,10.0,dna,20170303,0.3694705690362654,10745.853106391576,6788.125746897214,O2,,260,Q21A,mrazomej
29,250.0,dna,20170303,0.8986093810084361,19682.589823839397,15680.156067025271,O2,,260,Q21A,mrazomej
30,25.0,dna,20170303,0.6761946778168619,15597.45278484895,11515.194556022172,O2,,260,Q21A,mrazomej
31,5000.0,dna,20170303,1.0355033210257083,19182.712782252776,15295.18879428924,O2,,260,Q21A,mrazomej
32,500.0,dna,20170303,0.998306738203016,21064.224091275697,17081.192733655804,O2,,260,Q21A,mrazomej
33,50.0,dna,20170303,0.8344416895372221,19095.438466131487,15008.227387742414,O2,,260,Q21A,mrazomej
34,5.0,dna,20170303,0.3769110031372325,13114.207936584358,8501.630500718184,O2,,260,Q21A,mrazomej
35,75.0,dna,20170303,0.7877830399546607,19052.949761790365,14974.380961193516,O2,,260,Q21A,mrazomej
36,0.1,dna,20170303,-0.017473161481378195,3664.054112471756,-482.3284297250821,O2,,260,Q21M,mrazomej
37,0.0,dna,20170303,-0.044639428064820116,3480.7055425369454,-835.5162839717592,O2,,260,Q21M,mrazomej
38,1000.0,dna,20170303,0.7734402463830299,17030.63247305298,12850.62700411626,O2,,260,Q21M,mrazomej
39,100.0,dna,20170303,0.2619113310502997,8537.51803734533,4514.467257196644,O2,,260,Q21M,mrazomej
40,10.0,dna,20170303,-0.01412469714787171,3698.2203015257396,-259.50705796862115,O2,,260,Q21M,mrazomej
41,250.0,dna,20170303,0.5297940340434127,13246.999096046455,9244.565339232337,O2,,260,Q21M,mrazomej
42,25.0,dna,20170303,0.01005989402274572,4253.572261139015,171.3140323122384,O2,,260,Q21M,mrazomej
43,5000.0,dna,20170303,0.8855435441396532,16967.690336212007,13080.16634824847,O2,,260,Q21M,mrazomej
44,500.0,dna,20170303,0.7138844650401648,16197.712146876516,12214.680789256623,O2,,260,Q21M,mrazomej
45,50.0,dna,20170303,0.12255664303027272,6291.508861613219,2204.2977832241454,O2,,260,Q21M,mrazomej
46,5.0,dna,20170303,-0.04621856840759225,3570.068229175677,-1042.509206690498,O2,,260,Q21M,mrazomej
47,75.0,dna,20170303,0.1412819175143647,6764.091525114725,2685.5227245178758,O2,,260,Q21M,mrazomej
48,0.1,,20170303,-0.012014538709478316,3814.733710599317,-331.64883159752117,O2,,260,wt,mrazomej
49,0.0,,20170303,-0.04481661915513961,3477.389056467239,-838.8327700414658,O2,,260,wt,mrazomej
50,1000.0,,20170303,0.9072087647664856,19253.182104621752,15073.176635685028,O2,,260,wt,mrazomej
51,100.0,,20170303,0.7133143833426473,16318.182933363369,12295.132153214685,O2,,260,wt,mrazomej
52,10.0,,20170303,-1.1964416223839269e-06,3957.7053777808974,-0.021981713462992047,O2,,260,wt,mrazomej
53,250.0,,20170303,0.7720611321870545,17474.404227889798,13471.97047107568,O2,,260,wt,mrazomej
54,25.0,,20170303,0.19665324470664647,7431.146422063018,3348.888193236241,O2,,260,wt,mrazomej
55,5000.0,,20170303,0.9781204448986532,18335.123106680086,14447.599118716551,O2,,260,wt,mrazomej
56,500.0,,20170303,0.8938991500291866,19277.79305940314,15294.761701783245,O2,,260,wt,mrazomej
57,50.0,,20170303,0.4601212456042954,12362.929282006584,8275.718203617509,O2,,260,wt,mrazomej
58,5.0,,20170303,-0.011409740789266412,4355.2185381637455,-257.35889770243097,O2,,260,wt,mrazomej
59,75.0,,20170303,0.3720153972143425,11149.93235982999,7071.363559233141,O2,,260,wt,mrazomej
60,0.1,dna,20170303,0.3701995317868858,14365.35516727244,10218.972625075605,O2,,260,Y20I,mrazomej
61,0.0,dna,20170303,0.41862680072371183,12151.660676750414,7835.438850241711,O2,,260,Y20I,mrazomej
62,1000.0,dna,20170303,1.0074056726047886,20917.943016168872,16737.93754723215,O2,,260,Y20I,mrazomej
63,100.0,dna,20170303,0.9799414496143062,20913.933547660537,16890.882767511852,O2,,260,Y20I,mrazomej
64,10.0,dna,20170303,0.8584421362454234,19729.519907054586,15771.79254756022,O2,,260,Y20I,mrazomej
65,250.0,dna,20170303,1.0043828344916637,21528.268595302914,17525.834838488794,O2,,260,Y20I,mrazomej
