,date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
8,20180321,gchure,auto,O2,R0,0.0,6111.539875742558,0.0,0.0
33,20180321,gchure,delta,O2,R0,0.0,15732.287065695806,0.0,1.0
48,20180321,gchure,Y20I,O2,R260,0.0,10344.180054435832,260.0,0.43994921549475235
51,20180321,gchure,Y20I,O2,R124,0.0,14195.645082681041,124.0,0.8402783117906426
54,20180321,gchure,Y20I,O2,R1220,0.0,7840.723148192951,1220.0,0.17973482083139491
69,20180321,gchure,wt,O2,R260,0.0,6250.0833358727405,260.0,0.014400488589374885
74,20180321,gchure,Y20I,O2,R60,0.0,13281.769999073333,60.0,0.745288279772958
9,20180321,gchure,wt,O2,R260,0.1,6260.056168477069,260.0,-0.0005644482167071373
35,20180321,gchure,Y20I,O2,R1220,0.1,7609.901563687457,1220.0,0.13949717500661146
46,20180321,gchure,Y20I,O2,R60,0.1,13318.862360181436,60.0,0.7318659891778145
47,20180321,gchure,delta,O2,R0,0.1,15903.006763752512,0.0,1.0
55,20180321,gchure,Y20I,O2,R124,0.1,12404.302109703762,124.0,0.6369700894903818
58,20180321,gchure,auto,O2,R0,0.1,6265.496044216207,0.0,0.0
66,20180321,gchure,Y20I,O2,R260,0.1,10647.641389524615,260.0,0.4546968063470282
1,20180321,gchure,wt,O2,R260,5.0,6454.043024865275,260.0,0.024630069896618593
7,20180321,gchure,Y20I,O2,R60,5.0,15100.178240608646,60.0,0.9538434037943891
18,20180321,gchure,Y20I,O2,R124,5.0,16962.019502676765,124.0,1.1539383228704383
19,20180321,gchure,Y20I,O2,R1220,5.0,11497.036501528159,1220.0,0.5666082675937888
36,20180321,gchure,Y20I,O2,R260,5.0,16454.972626049646,260.0,1.0994452219743025
45,20180321,gchure,delta,O2,R0,5.0,15529.655689256715,0.0,1.0
80,20180321,gchure,auto,O2,R0,5.0,6224.865389406587,0.0,0.0
2,20180321,gchure,auto,O2,R0,10.0,6230.709825854914,0.0,0.0
31,20180321,gchure,Y20I,O2,R60,10.0,17089.633085701385,60.0,0.9087592417849749
34,20180321,gchure,Y20I,O2,R1220,10.0,13505.87468046257,1220.0,0.6088424366696763
42,20180321,gchure,Y20I,O2,R260,10.0,16808.031259203057,260.0,0.8851926085000553
76,20180321,gchure,Y20I,O2,R124,10.0,16637.76707910284,124.0,0.870943576297833
78,20180321,gchure,wt,O2,R260,10.0,6841.280874214222,260.0,0.05109733899811235
82,20180321,gchure,delta,O2,R0,10.0,18179.88487745328,0.0,1.0
0,20180321,gchure,auto,O2,R0,25.0,6175.568707772043,0.0,0.0
26,20180321,gchure,Y20I,O2,R60,25.0,15520.10784147322,60.0,0.9585028425862426
37,20180321,gchure,Y20I,O2,R260,25.0,17991.43220152205,260.0,1.2119954322332196
40,20180321,gchure,Y20I,O2,R1220,25.0,14496.961966333147,1220.0,0.8535551061949115
77,20180321,gchure,delta,O2,R0,25.0,15924.667738597702,0.0,1.0
81,20180321,gchure,wt,O2,R260,25.0,8877.129454832226,260.0,0.2771087603601238
83,20180321,gchure,Y20I,O2,R124,25.0,15817.767704263057,124.0,0.9890348806595729
28,20180321,gchure,Y20I,O2,R124,50.0,15740.310135372616,124.0,0.9515339841791053
29,20180321,gchure,wt,O2,R260,50.0,10234.830821344478,260.0,0.4019620624925032
32,20180321,gchure,delta,O2,R0,50.0,16225.831023551209,0.0,1.0
50,20180321,gchure,auto,O2,R0,50.0,6208.071569734569,0.0,0.0
67,20180321,gchure,Y20I,O2,R1220,50.0,15623.965081688579,1220.0,0.9399201044268111
71,20180321,gchure,Y20I,O2,R260,50.0,16265.444085400839,260.0,1.0039542835932775
79,20180321,gchure,Y20I,O2,R60,50.0,16071.62296801995,60.0,0.9846065324045579
16,20180321,gchure,auto,O2,R0,75.0,6168.598594502584,0.0,0.0
17,20180321,gchure,Y20I,O2,R260,75.0,18764.96363590971,260.0,1.1062158345329516
21,20180321,gchure,Y20I,O2,R1220,75.0,17870.13089073874,1220.0,1.0276314057145772
22,20180321,gchure,Y20I,O2,R60,75.0,18046.40521031967,60.0,1.0431118592343782
59,20180321,gchure,delta,O2,R0,75.0,17555.494938040603,0.0,1.0
62,20180321,gchure,wt,O2,R260,75.0,11906.070687627069,260.0,0.503866191456152
63,20180321,gchure,Y20I,O2,R124,75.0,17536.67365085279,124.0,0.9983471099920486
12,20180321,gchure,Y20I,O2,R260,100.0,15458.410826777068,260.0,0.8923071780553848
14,20180321,gchure,auto,O2,R0,100.0,6185.661383143635,0.0,0.0
24,20180321,gchure,Y20I,O2,R124,100.0,15507.827269869334,124.0,0.897062471741819
27,20180321,gchure,delta,O2,R0,100.0,16577.5417486492,0.0,1.0
41,20180321,gchure,Y20I,O2,R60,100.0,15705.545723897118,60.0,0.9160887159895955
43,20180321,gchure,Y20I,O2,R1220,100.0,15289.262725571622,1220.0,0.8760302295863753
72,20180321,gchure,wt,O2,R260,100.0,12758.277611475878,260.0,0.6324761253169493
6,20180321,gchure,Y20I,O2,R124,250.0,16864.68040846591,124.0,1.1457271032975653
10,20180321,gchure,delta,O2,R0,250.0,15514.027086047003,0.0,1.0
15,20180321,gchure,Y20I,O2,R60,250.0,16227.04907855548,60.0,1.0769306437344193
30,20180321,gchure,Y20I,O2,R260,250.0,16288.660236071375,260.0,1.0835781049049305
39,20180321,gchure,auto,O2,R0,250.0,6245.652899942738,0.0,0.0
53,20180321,gchure,wt,O2,R260,250.0,13850.796842583139,260.0,0.8205477886340103
61,20180321,gchure,Y20I,O2,R1220,250.0,16191.173783657776,1220.0,1.0730599222705093
4,20180321,gchure,Y20I,O2,R1220,500.0,16674.480596505196,1220.0,0.832579923581201
25,20180321,gchure,wt,O2,R260,500.0,14656.495712968015,260.0,0.6713474045520362
52,20180321,gchure,Y20I,O2,R260,500.0,17050.852823238172,260.0,0.8626512302118067
57,20180321,gchure,auto,O2,R0,500.0,6253.917113157951,0.0,0.0
